Left Wing,Center Back,Center Forward,Left Back,Right Back
61+2,82+2,63+2,77+2,77+2
81+2,67+2,81+2,73+2,73+2
49+2,81+2,52+2,73+2,73+2
82+3,54+3,82+3,61+3,61+3
81+3,73+3,82+3,75+3,75+3
75+3,82+3,75+3,82+3,82+3
63+3,82+3,61+3,80+3,80+3
69+3,79+3,69+3,75+3,75+3
77+2,72+2,76+2,75+2,75+2
83+2,53+2,83+2,61+2,61+2
71+3,80+3,68+3,82+3,82+3
82+3,50+3,82+3,56+3,56+3
84+3,53+3,84+3,61+3,61+3
58+3,82+3,58+3,76+3,76+3
82+3,69+3,81+3,75+3,75+3
83+2,49+2,83+2,56+2,56+2
72+3,80+3,74+3,77+3,77+3
76+2,75+2,77+2,76+2,76+2
75+3,79+3,74+3,82+3,82+3
79+3,70+3,80+3,72+3,72+3
82+3,54+3,82+3,63+3,63+3
82+3,57+3,81+3,65+3,65+3
76+3,72+3,78+3,71+3,71+3
82+3,54+3,81+3,66+3,66+3
78+3,69+3,77+3,72+3,72+3
77+3,81+3,78+3,80+3,80+3
82+3,50+3,81+3,59+3,59+3
80+3,51+3,82+3,54+3,54+3
56+3,81+3,58+3,73+3,73+3
,,,,
76+3,57+3,79+3,55+3,55+3
,,,,
54+3,82+3,56+3,72+3,72+3
84+3,48+3,82+3,60+3,60+3
54+3,82+3,55+3,74+3,74+3
82+3,41+3,80+3,51+3,51+3
84+3,46+3,84+3,55+3,55+3
83+3,46+3,82+3,59+3,59+3
82+2,52+2,83+2,57+2,57+2
82+2,50+2,82+2,60+2,60+2
59+2,81+2,59+2,77+2,77+2
74+2,51+2,77+2,51+2,51+2
62+2,81+2,60+2,78+2,78+2
79+2,66+2,79+2,70+2,70+2
77+2,77+2,78+2,76+2,76+2
82+3,64+3,81+3,72+3,72+3
82+2,40+2,80+2,53+2,53+2
52+2,81+2,53+2,73+2,73+2
81+2,64+2,81+2,67+2,67+2
81+3,49+3,81+3,57+3,57+3
77+2,77+2,78+2,77+2,77+2
79+3,77+3,79+3,79+3,79+3
83+2,49+2,82+2,59+2,59+2
80+3,60+3,79+3,67+3,67+3
81+2,55+2,80+2,65+2,65+2
82+3,50+3,81+3,58+3,58+3
76+2,56+2,78+2,60+2,60+2
55+3,81+3,55+3,73+3,73+3
79+3,69+3,78+3,74+3,74+3
,,,,
77+2,71+2,78+2,72+2,72+2
82+2,54+2,81+2,62+2,62+2
,,,,
51+2,81+2,52+2,72+2,72+2
64+2,81+2,63+2,78+2,78+2
82+3,42+3,81+3,55+3,55+3
83+3,61+3,82+3,67+3,67+3
82+3,59+3,80+3,69+3,69+3
81+3,54+3,80+3,63+3,63+3
69+3,81+3,72+3,75+3,75+3
61+2,80+2,59+2,79+2,79+2
,,,,
78+2,80+2,78+2,82+2,82+2
55+2,81+2,59+2,74+2,74+2
77+3,76+3,76+3,81+3,81+3
80+2,55+2,81+2,61+2,61+2
80+3,64+3,79+3,71+3,71+3
79+2,63+2,77+2,72+2,72+2
,,,,
,,,,
71+2,81+2,71+2,80+2,80+2
81+3,59+3,80+3,67+3,67+3
77+2,79+2,78+2,81+2,81+2
,,,,
44+3,81+3,47+3,69+3,69+3
75+3,78+3,77+3,77+3,77+3
68+3,57+3,75+3,53+3,53+3
79+3,55+3,79+3,65+3,65+3
78+3,45+3,79+3,50+3,50+3
66+3,81+3,67+3,78+3,78+3
81+2,56+2,80+2,62+2,62+2
67+3,80+3,67+3,75+3,75+3
,,,,
80+3,46+3,80+3,56+3,56+3
,,,,
,,,,
,,,,
62+3,84+3,64+3,76+3,76+3
71+3,82+3,72+3,79+3,79+3
72+3,79+3,73+3,77+3,77+3
,,,,
76+3,62+3,77+3,66+3,66+3
78+3,79+3,79+3,76+3,76+3
80+3,43+3,79+3,54+3,54+3
,,,,
66+3,82+3,68+3,77+3,77+3
,,,,
,,,,
63+2,80+2,65+2,75+2,75+2
74+2,75+2,75+2,75+2,75+2
77+2,71+2,78+2,73+2,73+2
,,,,
71+2,78+2,71+2,80+2,80+2
60+2,80+2,63+2,74+2,74+2
,,,,
81+3,53+3,79+3,65+3,65+3
80+2,50+2,80+2,59+2,59+2
74+2,77+2,73+2,79+2,79+2
82+2,43+2,81+2,53+2,53+2
,,,,
68+2,81+2,67+2,81+2,81+2
58+2,80+2,60+2,75+2,75+2
81+2,47+2,81+2,53+2,53+2
74+2,75+2,72+2,80+2,80+2
64+2,74+2,66+2,71+2,71+2
81+2,59+2,80+2,68+2,68+2
81+2,43+2,80+2,54+2,54+2
54+2,80+2,55+2,73+2,73+2
81+2,50+2,80+2,59+2,59+2
79+2,75+2,78+2,81+2,81+2
55+2,81+2,56+2,74+2,74+2
72+2,79+2,73+2,77+2,77+2
77+2,73+2,77+2,77+2,77+2
77+3,62+3,79+3,66+3,66+3
73+3,55+3,77+3,54+3,54+3
79+2,46+2,78+2,55+2,55+2
81+2,60+2,81+2,67+2,67+2
78+2,58+2,79+2,59+2,59+2
81+2,53+2,79+2,64+2,64+2
59+2,81+2,58+2,76+2,76+2
78+3,76+3,78+3,79+3,79+3
60+2,81+2,64+2,71+2,71+2
78+2,78+2,78+2,80+2,80+2
61+2,81+2,62+2,74+2,74+2
76+2,82+2,78+2,79+2,79+2
79+2,68+2,79+2,71+2,71+2
63+2,81+2,62+2,77+2,77+2
79+3,48+3,80+3,52+3,52+3
,,,,
82+2,51+2,82+2,58+2,58+2
80+2,51+2,81+2,57+2,57+2
81+2,56+2,80+2,65+2,65+2
82+2,45+2,80+2,55+2,55+2
82+2,44+2,82+2,54+2,54+2
80+2,64+2,79+2,70+2,70+2
69+3,80+3,71+3,76+3,76+3
53+3,81+3,57+3,70+3,70+3
74+2,55+2,78+2,54+2,54+2
74+2,79+2,74+2,80+2,80+2
56+2,81+2,57+2,74+2,74+2
74+2,81+2,76+2,80+2,80+2
,,,,
80+3,63+3,80+3,68+3,68+3
61+3,80+3,62+3,74+3,74+3
80+3,61+3,80+3,66+3,66+3
80+3,50+3,80+3,59+3,59+3
80+3,72+3,80+3,76+3,76+3
,,,,
81+2,55+2,81+2,64+2,64+2
68+2,81+2,72+2,75+2,75+2
82+2,56+2,81+2,64+2,64+2
77+3,69+3,78+3,72+3,72+3
75+2,76+2,73+2,80+2,80+2
75+2,80+2,75+2,80+2,80+2
78+3,61+3,78+3,66+3,66+3
82+2,41+2,81+2,54+2,54+2
80+3,60+3,80+3,63+3,63+3
80+3,51+3,79+3,60+3,60+3
75+2,76+2,75+2,78+2,78+2
80+2,56+2,81+2,60+2,60+2
75+2,78+2,77+2,78+2,78+2
62+2,79+2,64+2,74+2,74+2
53+3,80+3,55+3,72+3,72+3
61+3,79+3,61+3,75+3,75+3
78+3,73+3,79+3,75+3,75+3
50+3,81+3,53+3,71+3,71+3
72+3,56+3,76+3,52+3,52+3
56+3,81+3,57+3,75+3,75+3
76+3,71+3,76+3,75+3,75+3
59+3,79+3,60+3,70+3,70+3
51+2,81+2,53+2,71+2,71+2
,,,,
,,,,
58+3,80+3,58+3,74+3,74+3
,,,,
72+3,75+3,71+3,76+3,76+3
79+3,75+3,78+3,79+3,79+3
79+3,49+3,80+3,55+3,55+3
74+3,61+3,78+3,57+3,57+3
,,,,
,,,,
80+2,53+2,80+2,60+2,60+2
79+2,38+2,78+2,51+2,51+2
81+2,46+2,80+2,55+2,55+2
63+2,80+2,62+2,76+2,76+2
76+2,72+2,75+2,75+2,75+2
74+2,74+2,73+2,79+2,79+2
78+2,70+2,78+2,73+2,73+2
78+2,72+2,78+2,74+2,74+2
58+2,80+2,58+2,74+2,74+2
78+2,68+2,77+2,73+2,73+2
80+3,52+3,79+3,60+3,60+3
81+2,60+2,79+2,67+2,67+2
77+2,70+2,77+2,72+2,72+2
80+2,48+2,78+2,59+2,59+2
76+2,74+2,76+2,76+2,76+2
80+2,55+2,80+2,59+2,59+2
82+2,58+2,82+2,65+2,65+2
59+2,79+2,58+2,75+2,75+2
77+3,66+3,76+3,70+3,70+3
,,,,
70+2,76+2,68+2,79+2,79+2
79+3,67+3,78+3,74+3,74+3
78+3,74+3,76+3,79+3,79+3
76+3,74+3,74+3,79+3,79+3
80+3,69+3,79+3,76+3,76+3
74+2,78+2,75+2,77+2,77+2
75+2,44+2,77+2,49+2,49+2
75+3,47+3,78+3,50+3,50+3
79+2,53+2,79+2,58+2,58+2
73+2,77+2,72+2,79+2,79+2
53+2,79+2,52+2,74+2,74+2
73+3,52+3,75+3,54+3,54+3
79+2,63+2,80+2,67+2,67+2
74+2,77+2,73+2,80+2,80+2
66+2,75+2,67+2,75+2,75+2
71+2,77+2,70+2,79+2,79+2
80+2,49+2,79+2,59+2,59+2
81+3,48+3,80+3,58+3,58+3
74+2,62+2,77+2,60+2,60+2
74+2,76+2,73+2,79+2,79+2
,,,,
79+3,52+3,80+3,57+3,57+3
79+2,56+2,80+2,61+2,61+2
77+2,49+2,79+2,53+2,53+2
79+2,52+2,79+2,57+2,57+2
69+3,71+3,71+3,70+3,70+3
79+3,49+3,77+3,56+3,56+3
76+2,70+2,75+2,74+2,74+2
81+2,53+2,79+2,65+2,65+2
54+2,79+2,54+2,72+2,72+2
63+3,80+3,64+3,76+3,76+3
80+3,55+3,79+3,63+3,63+3
81+3,51+3,80+3,61+3,61+3
,,,,
66+2,79+2,67+2,76+2,76+2
76+3,76+3,76+3,78+3,78+3
81+2,64+2,81+2,70+2,70+2
79+3,49+3,78+3,57+3,57+3
57+3,79+3,57+3,72+3,72+3
79+3,59+3,81+3,61+3,61+3
77+3,54+3,76+3,64+3,64+3
79+2,43+2,78+2,54+2,54+2
77+2,48+2,79+2,53+2,53+2
79+2,65+2,80+2,68+2,68+2
59+3,79+3,59+3,75+3,75+3
80+3,50+3,79+3,58+3,58+3
,,,,
58+3,79+3,59+3,72+3,72+3
55+3,78+3,57+3,73+3,73+3
59+2,80+2,61+2,75+2,75+2
79+3,44+3,78+3,57+3,57+3
79+2,51+2,78+2,59+2,59+2
77+3,74+3,78+3,73+3,73+3
74+3,79+3,73+3,79+3,79+3
79+3,64+3,78+3,70+3,70+3
78+2,71+2,78+2,76+2,76+2
80+2,59+2,80+2,63+2,63+2
74+3,78+3,73+3,79+3,79+3
80+3,46+3,80+3,54+3,54+3
76+2,70+2,76+2,72+2,72+2
76+2,78+2,76+2,79+2,79+2
,,,,
76+3,71+3,76+3,72+3,72+3
76+3,66+3,76+3,69+3,69+3
77+2,45+2,79+2,50+2,50+2
74+3,51+3,77+3,54+3,54+3
79+2,68+2,78+2,72+2,72+2
74+3,75+3,76+3,75+3,75+3
80+2,54+2,80+2,58+2,58+2
79+3,47+3,79+3,55+3,55+3
74+2,76+2,74+2,78+2,78+2
65+3,80+3,65+3,77+3,77+3
80+2,50+2,79+2,57+2,57+2
72+2,48+2,75+2,49+2,49+2
78+2,49+2,78+2,58+2,58+2
77+2,72+2,76+2,73+2,73+2
78+2,65+2,77+2,70+2,70+2
78+2,64+2,78+2,70+2,70+2
71+2,75+2,68+2,78+2,78+2
78+2,54+2,78+2,65+2,65+2
74+2,74+2,71+2,78+2,78+2
70+2,75+2,69+2,77+2,77+2
80+2,47+2,79+2,56+2,56+2
48+2,78+2,51+2,70+2,70+2
71+2,56+2,73+2,56+2,56+2
65+2,78+2,64+2,77+2,77+2
68+2,81+2,70+2,78+2,78+2
,,,,
78+2,66+2,77+2,71+2,71+2
79+2,77+2,77+2,78+2,78+2
72+2,71+2,72+2,72+2,72+2
74+2,58+2,76+2,58+2,58+2
56+2,79+2,57+2,71+2,71+2
52+2,79+2,52+2,71+2,71+2
76+2,76+2,77+2,76+2,76+2
66+2,78+2,67+2,75+2,75+2
76+2,66+2,75+2,71+2,71+2
79+2,44+2,78+2,59+2,59+2
80+2,46+2,79+2,55+2,55+2
,,,,
,,,,
79+2,41+2,78+2,53+2,53+2
77+2,60+2,77+2,63+2,63+2
77+2,62+2,77+2,66+2,66+2
77+2,72+2,74+2,78+2,78+2
73+3,74+3,75+3,71+3,71+3
72+2,75+2,70+2,78+2,78+2
77+2,74+2,77+2,76+2,76+2
,,,,
74+2,80+2,75+2,78+2,78+2
79+3,60+3,78+3,68+3,68+3
64+2,79+2,65+2,75+2,75+2
59+2,78+2,58+2,73+2,73+2
75+2,72+2,75+2,74+2,74+2
67+2,77+2,68+2,76+2,76+2
74+2,76+2,72+2,78+2,78+2
57+2,78+2,58+2,71+2,71+2
72+2,59+2,76+2,56+2,56+2
79+2,45+2,78+2,58+2,58+2
79+2,51+2,77+2,60+2,60+2
78+2,66+2,79+2,69+2,69+2
75+2,48+2,76+2,51+2,51+2
78+2,52+2,79+2,56+2,56+2
,,,,
,,,,
73+3,73+3,70+3,79+3,79+3
70+2,75+2,68+2,77+2,77+2
,,,,
48+2,78+2,53+2,67+2,67+2
59+2,78+2,60+2,73+2,73+2
80+3,42+3,78+3,54+3,54+3
65+2,81+2,66+2,76+2,76+2
58+2,78+2,57+2,74+2,74+2
69+2,75+2,70+2,74+2,74+2
78+2,73+2,77+2,78+2,78+2
74+2,73+2,71+2,77+2,77+2
74+2,75+2,73+2,78+2,78+2
77+2,50+2,79+2,55+2,55+2
79+2,47+2,77+2,56+2,56+2
58+3,79+3,56+3,76+3,76+3
79+2,44+2,79+2,51+2,51+2
76+3,52+3,79+3,54+3,54+3
80+2,68+2,79+2,73+2,73+2
74+2,79+2,72+2,79+2,79+2
61+2,79+2,62+2,74+2,74+2
69+2,79+2,69+2,77+2,77+2
75+2,56+2,77+2,58+2,58+2
79+3,55+3,79+3,58+3,58+3
65+2,75+2,63+2,78+2,78+2
71+2,79+2,71+2,78+2,78+2
78+2,59+2,79+2,62+2,62+2
74+3,76+3,73+3,78+3,78+3
78+2,65+2,77+2,71+2,71+2
72+2,78+2,71+2,78+2,78+2
56+2,79+2,57+2,71+2,71+2
70+3,77+3,70+3,77+3,77+3
,,,,
78+2,47+2,78+2,55+2,55+2
77+2,47+2,77+2,54+2,54+2
80+3,48+3,79+3,58+3,58+3
70+2,57+2,74+2,58+2,58+2
,,,,
80+2,55+2,78+2,61+2,61+2
79+2,50+2,78+2,58+2,58+2
75+2,73+2,75+2,76+2,76+2
,,,,
67+2,80+2,68+2,75+2,75+2
63+3,77+3,63+3,74+3,74+3
78+2,49+2,77+2,56+2,56+2
66+2,79+2,69+2,74+2,74+2
,,,,
62+3,79+3,61+3,74+3,74+3
75+2,60+2,77+2,60+2,60+2
,,,,
67+3,75+3,71+3,69+3,69+3
75+2,76+2,75+2,78+2,78+2
77+3,67+3,77+3,69+3,69+3
53+2,79+2,56+2,70+2,70+2
75+2,77+2,74+2,79+2,79+2
77+3,47+3,78+3,52+3,52+3
74+2,75+2,73+2,78+2,78+2
70+2,77+2,70+2,77+2,77+2
73+2,67+2,74+2,69+2,69+2
76+2,72+2,76+2,72+2,72+2
78+3,54+3,79+3,60+3,60+3
80+2,60+2,80+2,64+2,64+2
77+2,61+2,77+2,64+2,64+2
,,,,
72+2,78+2,71+2,80+2,80+2
77+2,51+2,78+2,57+2,57+2
76+3,41+3,78+3,46+3,46+3
77+2,75+2,79+2,72+2,72+2
75+2,75+2,75+2,75+2,75+2
48+3,78+3,48+3,69+3,69+3
66+2,79+2,66+2,77+2,77+2
54+3,79+3,58+3,67+3,67+3
67+3,75+3,67+3,76+3,76+3
64+2,79+2,65+2,75+2,75+2
57+3,78+3,58+3,70+3,70+3
56+2,79+2,58+2,70+2,70+2
74+3,56+3,75+3,56+3,56+3
71+3,51+3,74+3,49+3,49+3
,,,,
70+2,75+2,70+2,75+2,75+2
73+3,75+3,71+3,78+3,78+3
,,,,
77+3,61+3,77+3,64+3,64+3
78+2,62+2,76+2,72+2,72+2
64+3,78+3,64+3,76+3,76+3
,,,,
77+3,76+3,77+3,78+3,78+3
70+3,75+3,72+3,71+3,71+3
,,,,
76+3,64+3,78+3,64+3,64+3
76+3,47+3,77+3,50+3,50+3
,,,,
78+2,51+2,77+2,61+2,61+2
50+2,77+2,52+2,69+2,69+2
78+2,47+2,78+2,56+2,56+2
78+2,53+2,77+2,61+2,61+2
77+2,48+2,76+2,59+2,59+2
77+2,57+2,78+2,60+2,60+2
74+2,52+2,76+2,53+2,53+2
74+2,78+2,75+2,77+2,77+2
76+2,43+2,79+2,49+2,49+2
,,,,
69+2,79+2,72+2,75+2,75+2
54+2,78+2,53+2,72+2,72+2
71+2,73+2,68+2,78+2,78+2
,,,,
75+2,56+2,76+2,58+2,58+2
78+3,46+3,77+3,58+3,58+3
,,,,
64+2,79+2,65+2,75+2,75+2
65+2,73+2,66+2,72+2,72+2
77+2,54+2,77+2,58+2,58+2
78+2,47+2,77+2,55+2,55+2
66+2,77+2,64+2,76+2,76+2
78+2,67+2,78+2,73+2,73+2
,,,,
79+2,54+2,78+2,62+2,62+2
77+2,43+2,77+2,51+2,51+2
74+2,67+2,74+2,69+2,69+2
79+2,55+2,77+2,67+2,67+2
68+3,73+3,67+3,74+3,74+3
64+2,77+2,63+2,75+2,75+2
77+2,53+2,77+2,56+2,56+2
77+2,46+2,78+2,51+2,51+2
70+2,79+2,73+2,75+2,75+2
79+2,53+2,79+2,59+2,59+2
78+2,39+2,77+2,50+2,50+2
72+2,74+2,71+2,77+2,77+2
72+2,47+2,75+2,48+2,48+2
74+2,51+2,76+2,53+2,53+2
63+2,75+2,65+2,70+2,70+2
70+2,78+2,70+2,76+2,76+2
69+2,77+2,69+2,77+2,77+2
78+2,51+2,77+2,60+2,60+2
74+2,75+2,74+2,77+2,77+2
76+2,65+2,73+2,71+2,71+2
79+2,45+2,78+2,56+2,56+2
77+2,48+2,76+2,59+2,59+2
66+2,76+2,63+2,77+2,77+2
77+2,53+2,76+2,59+2,59+2
77+2,51+2,75+2,61+2,61+2
66+2,77+2,65+2,76+2,76+2
72+3,76+3,70+3,78+3,78+3
69+2,78+2,70+2,76+2,76+2
67+2,76+2,68+2,73+2,73+2
75+2,53+2,76+2,56+2,56+2
,,,,
66+2,76+2,68+2,73+2,73+2
76+2,67+2,76+2,70+2,70+2
56+2,78+2,57+2,72+2,72+2
79+2,60+2,78+2,67+2,67+2
49+2,77+2,50+2,68+2,68+2
71+2,72+2,68+2,77+2,77+2
59+2,78+2,61+2,73+2,73+2
56+2,78+2,58+2,70+2,70+2
72+2,72+2,71+2,74+2,74+2
57+2,77+2,58+2,70+2,70+2
,,,,
73+2,51+2,77+2,51+2,51+2
74+2,70+2,76+2,70+2,70+2
76+2,50+2,75+2,60+2,60+2
77+2,58+2,75+2,66+2,66+2
71+2,66+2,72+2,67+2,67+2
74+2,75+2,73+2,77+2,77+2
66+2,73+2,64+2,74+2,74+2
64+2,77+2,65+2,74+2,74+2
64+3,78+3,64+3,74+3,74+3
74+2,71+2,74+2,74+2,74+2
76+2,76+2,76+2,77+2,77+2
76+2,50+2,76+2,56+2,56+2
65+2,77+2,67+2,72+2,72+2
,,,,
66+2,78+2,65+2,76+2,76+2
74+2,75+2,73+2,77+2,77+2
78+2,44+2,77+2,54+2,54+2
78+2,47+2,77+2,56+2,56+2
74+2,63+2,76+2,64+2,64+2
74+2,72+2,74+2,72+2,72+2
75+2,71+2,76+2,71+2,71+2
78+3,54+3,78+3,59+3,59+3
74+2,52+2,76+2,55+2,55+2
79+2,61+2,78+2,66+2,66+2
73+2,76+2,73+2,77+2,77+2
75+2,62+2,77+2,63+2,63+2
,,,,
73+2,53+2,76+2,53+2,53+2
65+2,77+2,67+2,73+2,73+2
65+2,80+2,68+2,75+2,75+2
74+2,67+2,74+2,67+2,67+2
78+2,72+2,77+2,75+2,75+2
75+2,52+2,77+2,55+2,55+2
58+2,78+2,58+2,72+2,72+2
77+2,63+2,77+2,68+2,68+2
78+2,63+2,77+2,68+2,68+2
53+2,77+2,55+2,68+2,68+2
70+2,75+2,69+2,77+2,77+2
74+2,51+2,76+2,52+2,52+2
70+2,76+2,68+2,78+2,78+2
72+2,52+2,75+2,52+2,52+2
75+2,59+2,77+2,62+2,62+2
78+2,52+2,78+2,58+2,58+2
77+2,63+2,77+2,67+2,67+2
73+2,76+2,71+2,77+2,77+2
,,,,
74+2,73+2,73+2,77+2,77+2
57+2,78+2,56+2,72+2,72+2
75+2,75+2,74+2,77+2,77+2
67+2,77+2,71+2,69+2,69+2
75+3,65+3,75+3,68+3,68+3
50+2,77+2,51+2,70+2,70+2
69+2,78+2,70+2,76+2,76+2
68+2,77+2,68+2,75+2,75+2
80+3,55+3,79+3,63+3,63+3
76+3,70+3,76+3,73+3,73+3
73+2,73+2,72+2,78+2,78+2
68+2,74+2,67+2,74+2,74+2
76+2,77+2,76+2,78+2,78+2
,,,,
71+2,71+2,72+2,72+2,72+2
73+3,54+3,75+3,55+3,55+3
75+2,72+2,74+2,77+2,77+2
79+3,47+3,78+3,56+3,56+3
74+3,70+3,74+3,72+3,72+3
66+2,78+2,66+2,75+2,75+2
79+2,50+2,77+2,60+2,60+2
65+2,77+2,65+2,75+2,75+2
68+2,54+2,72+2,54+2,54+2
,,,,
52+3,78+3,51+3,71+3,71+3
59+2,77+2,59+2,72+2,72+2
78+3,49+3,79+3,54+3,54+3
80+3,43+3,80+3,53+3,53+3
74+3,45+3,76+3,50+3,50+3
,,,,
,,,,
75+2,47+2,77+2,51+2,51+2
67+2,76+2,68+2,74+2,74+2
69+3,78+3,73+3,70+3,70+3
68+2,79+2,71+2,74+2,74+2
,,,,
,,,,
,,,,
71+3,73+3,71+3,71+3,71+3
70+2,75+2,68+2,77+2,77+2
52+2,77+2,51+2,72+2,72+2
77+3,50+3,76+3,58+3,58+3
73+2,50+2,75+2,49+2,49+2
,,,,
76+3,45+3,76+3,50+3,50+3
55+2,77+2,56+2,72+2,72+2
81+3,53+3,81+3,59+3,59+3
78+3,52+3,80+3,56+3,56+3
77+2,51+2,77+2,57+2,57+2
77+3,50+3,77+3,55+3,55+3
75+2,72+2,73+2,76+2,76+2
,,,,
77+2,58+2,77+2,61+2,61+2
68+2,72+2,67+2,72+2,72+2
73+2,50+2,75+2,53+2,53+2
,,,,
70+3,77+3,69+3,77+3,77+3
71+3,50+3,74+3,49+3,49+3
72+2,66+2,72+2,65+2,65+2
71+2,43+2,75+2,45+2,45+2
66+2,77+2,64+2,76+2,76+2
77+2,52+2,77+2,58+2,58+2
75+2,54+2,73+2,64+2,64+2
75+2,72+2,73+2,76+2,76+2
78+2,45+2,77+2,59+2,59+2
74+2,44+2,75+2,49+2,49+2
60+2,75+2,59+2,74+2,74+2
,,,,
71+2,71+2,69+2,75+2,75+2
74+2,62+2,74+2,65+2,65+2
68+2,75+2,68+2,74+2,74+2
75+2,72+2,74+2,76+2,76+2
76+2,40+2,75+2,52+2,52+2
73+2,69+2,71+2,76+2,76+2
76+2,68+2,75+2,72+2,72+2
70+2,73+2,69+2,76+2,76+2
76+2,55+2,76+2,64+2,64+2
65+2,74+2,61+2,76+2,76+2
76+2,74+2,75+2,76+2,76+2
74+2,72+2,74+2,73+2,73+2
73+2,59+2,75+2,58+2,58+2
77+2,43+2,76+2,54+2,54+2
,,,,
78+2,42+2,77+2,54+2,54+2
72+2,70+2,73+2,72+2,72+2
76+3,45+3,75+3,55+3,55+3
75+2,58+2,74+2,64+2,64+2
55+2,76+2,55+2,72+2,72+2
62+2,76+2,59+2,76+2,76+2
77+2,59+2,77+2,63+2,63+2
73+2,65+2,74+2,68+2,68+2
68+2,48+2,72+2,47+2,47+2
76+2,73+2,75+2,75+2,75+2
,,,,
73+2,68+2,74+2,71+2,71+2
67+2,52+2,72+2,51+2,51+2
73+2,53+2,74+2,56+2,56+2
64+2,76+2,65+2,74+2,74+2
71+2,71+2,72+2,74+2,74+2
73+2,73+2,70+2,76+2,76+2
55+2,77+2,58+2,69+2,69+2
,,,,
