Volleys,Dribbling,ID,Balance,Skill Moves,Work Rate
90,87,68,81,4,High/ Medium
51,69,69,73,2,Medium/ Medium
58,69,70,52,2,Low/ High
38,62,71,50,2,Medium/ Medium
72,86,72,79,3,Medium/ Medium
44,64,73,53,2,Medium/ High
80,84,74,70,4,Medium/ Low
74,77,75,78,3,Medium/ High
74,90,76,84,4,High/ Medium
40,59,77,48,2,Medium/ High
74,86,78,59,4,High/ Medium
79,86,79,76,4,High/ Medium
77,90,80,91,4,High/ Medium
20,27,81,37,1,Medium/ Medium
61,80,82,83,3,High/ Low
76,83,83,69,3,High/ High
72,91,84,88,5,Medium/ Medium
68,79,85,77,3,High/ Medium
56,82,86,78,3,High/ High
81,85,87,85,4,High/ High
16,54,88,59,2,Low/ High
57,51,89,62,2,High/ High
72,78,90,72,3,Medium/ Low
75,82,91,66,3,High/ High
14,11,92,51,1,Medium/ Medium
83,87,93,87,4,High/ High
73,93,94,87,4,High/ Medium
52,64,95,52,2,Medium/ Medium
78,76,96,75,3,Medium/ Medium
81,84,97,74,4,Medium/ Medium
77,76,98,36,2,Medium/ Medium
78,81,99,54,2,High/ High
81,77,100,53,2,High/ Medium
75,80,101,82,3,High/ High
60,60,102,36,2,Medium/ Medium
72,78,103,79,2,High/ High
51,67,104,57,2,Medium/ High
82,83,105,66,4,Medium/ Low
56,77,106,62,3,High/ Medium
46,63,107,41,2,Medium/ High
23,58,108,49,2,Medium/ High
86,79,109,39,5,Medium/ Low
28,63,110,55,2,Medium/ High
30,47,111,43,2,Medium/ High
67,82,112,70,3,High/ Medium
40,59,113,55,2,Medium/ Medium
84,83,114,78,4,High/ Medium
31,42,115,33,2,Medium/ Medium
74,87,116,81,4,Medium/ Medium
79,83,117,62,4,High/ High
47,76,118,67,3,Medium/ Medium
31,59,119,68,2,Medium/ Medium
50,80,120,51,3,Medium/ Medium
71,82,121,73,3,Medium/ Medium
74,85,122,71,4,High/ Medium
34,76,123,79,3,High/ High
74,85,124,79,5,High/ Low
79,88,125,76,4,High/ High
13,15,126,62,1,Medium/ Medium
27,63,127,59,2,Medium/ High
19,19,128,30,1,Medium/ Medium
70,90,129,82,5,High/ Medium
83,86,130,74,3,High/ High
10,16,131,44,1,Medium/ Medium
73,80,132,50,3,Medium/ High
9,10,133,39,1,Medium/ Medium
58,78,134,75,4,Medium/ High
57,79,135,72,2,High/ High
75,85,136,78,4,High/ Medium
84,82,137,80,3,High/ High
77,86,138,77,5,High/ Medium
86,76,139,53,3,High/ High
59,88,140,79,4,High/ High
15,15,141,58,1,Medium/ Medium
65,84,142,83,4,Medium/ Medium
77,78,143,60,4,Medium/ Medium
77,86,144,80,4,High/ Low
85,84,145,69,3,High/ Medium
46,58,146,64,2,Medium/ High
13,12,147,55,1,Medium/ Medium
84,75,148,75,3,High/ Medium
15,12,149,47,1,Medium/ Medium
31,59,150,56,2,Low/ High
72,89,151,94,4,High/ Medium
35,64,152,64,2,Low/ High
80,89,153,84,5,High/ Low
86,89,154,90,4,High/ Low
76,90,155,85,4,High/ Low
72,86,156,91,4,High/ High
76,85,157,76,4,High/ Medium
44,56,158,68,2,Medium/ Medium
82,75,159,55,4,High/ Low
33,58,160,65,3,High/ High
71,88,161,90,4,High/ Medium
62,77,162,74,3,High/ Medium
78,85,163,86,4,High/ Medium
77,88,164,84,5,Medium/ Low
24,55,165,44,2,Medium/ Medium
76,82,166,65,4,High/ Medium
82,83,167,76,3,High/ Medium
72,79,168,72,3,High/ Medium
68,81,169,70,3,High/ High
69,84,170,79,5,High/ Low
77,83,171,78,4,High/ High
54,82,172,84,4,High/ High
68,88,173,71,4,High/ Medium
79,78,174,69,4,High/ Medium
44,57,175,57,2,Medium/ High
76,88,176,85,4,High/ High
18,10,177,39,1,Medium/ Medium
63,80,178,72,4,Medium/ Medium
83,87,179,88,4,High/ Medium
20,14,180,55,1,Medium/ Medium
27,47,181,49,2,Medium/ High
27,69,182,59,3,High/ Medium
72,88,183,84,4,High/ Medium
84,88,184,75,4,Medium/ Medium
68,90,185,88,4,High/ Medium
70,88,186,90,4,High/ Medium
55,76,187,60,3,Medium/ High
38,55,188,68,2,Medium/ High
14,20,189,31,1,Medium/ Medium
56,82,190,80,4,Medium/ High
39,65,191,35,3,Medium/ Medium
50,78,192,74,4,High/ High
77,82,193,77,4,High/ Medium
77,80,194,77,3,High/ Medium
68,86,195,80,3,High/ High
12,19,196,49,1,Medium/ Medium
11,19,197,43,1,Medium/ Medium
32,75,198,80,3,Medium/ High
81,84,199,85,4,Medium/ Medium
70,79,200,58,3,High/ Low
13,11,201,37,1,Medium/ Medium
17,51,202,51,2,Low/ Medium
63,75,203,68,3,Medium/ High
85,68,204,32,2,Medium/ Medium
63,78,205,80,4,Medium/ Medium
78,81,206,50,4,Medium/ Low
54,68,207,62,3,Medium/ High
65,84,208,85,4,High/ Medium
63,66,209,56,3,Medium/ Medium
11,15,210,36,1,Medium/ Medium
71,82,211,89,4,Medium/ Medium
15,12,212,51,1,Medium/ Medium
17,20,213,54,1,Medium/ Medium
8,15,214,58,1,Medium/ Medium
58,60,215,48,2,Medium/ Medium
57,72,216,63,2,High/ High
59,77,217,80,3,Medium/ High
13,15,218,36,1,Medium/ Medium
81,79,219,75,3,High/ Medium
73,89,220,76,4,Medium/ Medium
79,84,221,90,5,Medium/ Medium
16,11,222,45,1,Medium/ Medium
74,64,223,72,2,Medium/ High
11,10,224,60,1,Medium/ Medium
19,12,225,27,1,Medium/ Medium
40,65,226,59,2,Medium/ Medium
59,77,227,72,4,Medium/ High
63,82,228,86,4,Medium/ Medium
8,28,229,38,1,Medium/ Medium
57,77,230,80,2,High/ Medium
63,60,231,63,2,High/ Medium
8,9,232,41,1,Medium/ Medium
74,85,233,92,5,High/ Medium
71,86,234,78,4,High/ Low
65,78,235,93,3,Medium/ High
71,85,236,84,4,Medium/ Medium
17,18,237,57,1,Medium/ Medium
38,65,238,67,3,Medium/ High
24,60,239,60,2,Medium/ High
84,87,240,82,4,Medium/ Medium
32,76,241,74,3,High/ High
52,66,242,72,3,Medium/ High
74,86,243,79,5,High/ High
66,87,244,78,4,Medium/ Medium
35,64,245,53,2,Low/ Medium
58,85,246,78,4,Medium/ High
62,84,247,74,4,High/ Medium
28,65,248,53,2,Medium/ High
53,78,249,53,3,High/ High
70,79,250,87,4,High/ High
82,76,251,76,3,High/ High
80,78,252,75,3,High/ High
67,82,253,82,4,Medium/ Medium
70,83,254,86,4,High/ High
81,86,255,39,4,Medium/ High
74,82,256,88,4,High/ Medium
34,59,257,50,2,Medium/ High
87,78,258,82,4,High/ Medium
41,70,259,58,2,High/ High
79,75,260,49,3,High/ High
26,64,261,37,3,Medium/ High
59,78,262,67,4,High/ Medium
76,87,263,80,4,High/ High
48,60,264,67,2,Low/ High
80,83,265,60,3,High/ High
19,12,266,50,1,Medium/ Medium
78,84,267,87,4,High/ High
80,80,268,72,3,Medium/ Medium
64,86,269,81,4,High/ Medium
61,90,270,82,5,High/ Low
76,86,271,74,4,High/ Medium
65,84,272,92,4,High/ Low
43,70,273,71,3,High/ Medium
39,64,274,30,2,Medium/ Medium
80,79,275,43,4,Medium/ Low
52,77,276,61,3,High/ High
39,53,277,58,2,Medium/ Medium
66,73,278,74,3,High/ High
13,14,279,43,1,Medium/ Medium
86,84,280,85,4,Medium/ Medium
51,53,281,67,2,Medium/ High
78,87,282,63,4,High/ Medium
70,84,283,80,4,High/ High
78,83,284,77,4,High/ Medium
13,12,285,52,1,Medium/ Medium
82,87,286,83,4,Medium/ Medium
55,72,287,31,2,Medium/ Medium
68,87,288,84,5,Medium/ Medium
79,81,289,74,3,High/ High
54,75,290,74,3,High/ High
64,79,291,58,3,High/ Medium
75,80,292,63,3,High/ High
75,86,293,91,4,High/ Medium
79,84,294,66,4,High/ Medium
81,84,295,81,4,Medium/ Medium
72,73,296,70,3,Medium/ High
80,82,297,76,4,High/ Medium
76,75,298,71,3,High/ High
53,68,299,58,2,Low/ High
45,56,300,54,2,High/ High
38,65,301,46,3,High/ Medium
73,84,302,81,4,High/ High
35,48,303,32,2,Medium/ Medium
82,70,304,54,3,Medium/ Medium
34,54,305,56,2,Medium/ Medium
69,80,306,88,4,Medium/ Medium
49,60,307,34,2,Medium/ Medium
27,52,308,34,2,Medium/ High
12,15,309,55,1,Medium/ Medium
13,18,310,32,1,Medium/ Medium
35,62,311,61,2,Medium/ High
19,10,312,40,1,Medium/ Medium
78,80,313,78,3,Medium/ High
68,84,314,87,4,High/ Low
79,83,315,73,4,High/ Low
80,76,316,55,3,High/ Medium
17,12,317,34,1,Medium/ Medium
14,25,318,46,1,Medium/ Medium
72,83,319,77,4,High/ Medium
67,82,320,88,4,Medium/ Medium
75,86,321,84,4,High/ Medium
40,67,322,66,2,Medium/ High
64,86,323,78,4,Medium/ Medium
42,80,324,83,4,Medium/ High
70,81,325,76,4,High/ High
65,81,326,66,4,Medium/ Medium
42,60,327,62,2,Medium/ High
62,85,328,79,4,Medium/ Medium
75,84,329,76,4,High/ Medium
64,87,330,80,4,High/ Medium
47,78,331,88,3,Medium/ Medium
73,84,332,82,4,High/ Medium
65,81,333,74,3,Medium/ Medium
68,82,334,55,4,High/ High
79,87,335,83,4,Medium/ Low
25,68,336,61,2,Low/ Medium
69,83,337,77,4,Medium/ Medium
11,14,338,47,1,Medium/ Medium
40,75,339,69,3,Medium/ Medium
70,84,340,76,4,Medium/ Medium
56,83,341,77,3,High/ High
58,83,342,86,3,High/ Medium
78,83,343,86,4,Medium/ Medium
68,78,344,69,3,High/ Medium
73,75,345,90,3,High/ Medium
78,80,346,77,3,Medium/ Low
81,78,347,78,4,High/ Medium
48,76,348,68,3,High/ High
32,43,349,59,2,Low/ High
76,74,350,63,4,Medium/ Medium
78,79,351,79,3,High/ High
31,80,352,70,3,High/ Low
49,71,353,54,3,High/ High
53,74,354,72,3,High/ Medium
80,85,355,83,4,Medium/ Medium
72,87,356,78,4,High/ High
81,77,357,69,4,High/ High
52,79,358,62,3,High/ Medium
10,11,359,25,1,Medium/ Medium
80,83,360,56,4,Medium/ Medium
77,79,361,84,3,High/ High
84,78,362,84,3,High/ Medium
75,84,363,63,3,High/ High
50,70,364,61,3,Medium/ Medium
73,85,365,80,4,Medium/ Low
68,75,366,85,3,Medium/ Medium
74,84,367,90,4,High/ Medium
42,63,368,41,2,Medium/ High
58,63,369,92,3,Medium/ High
76,86,370,91,5,Medium/ Medium
75,91,371,87,5,Medium/ Low
16,12,372,58,1,Medium/ Medium
51,67,373,47,2,High/ Medium
65,77,374,78,3,High/ High
72,85,375,76,4,High/ Medium
79,84,376,81,5,High/ Medium
49,59,377,45,2,Medium/ High
73,82,378,59,4,High/ Medium
76,86,379,88,4,High/ Medium
61,87,380,89,4,Medium/ Medium
79,77,381,66,4,High/ Medium
86,78,382,78,4,Medium/ Medium
47,63,383,61,2,Medium/ Medium
60,88,384,78,4,Medium/ Medium
10,25,385,62,1,Medium/ Medium
45,59,386,61,2,Medium/ Medium
37,46,387,58,2,Low/ High
54,58,388,61,2,Medium/ High
76,83,389,92,3,High/ Medium
68,84,390,73,4,Medium/ Low
83,79,391,68,4,High/ Medium
64,72,392,66,2,Medium/ Medium
75,82,393,76,4,Medium/ Medium
71,80,394,63,4,High/ Medium
77,86,395,74,4,High/ High
64,80,396,76,3,Medium/ High
82,83,397,81,4,High/ Low
77,82,398,66,3,Medium/ Medium
64,80,399,78,3,High/ High
17,14,400,44,1,Medium/ Medium
76,79,401,84,3,High/ Medium
70,85,402,80,4,Medium/ Medium
87,76,403,75,4,Medium/ Medium
79,78,404,58,4,High/ Low
69,86,405,76,4,High/ Medium
59,76,406,70,3,High/ High
83,87,407,83,4,High/ Medium
75,87,408,77,5,High/ Medium
76,76,409,73,3,High/ High
61,65,410,43,2,High/ Medium
68,85,411,72,4,High/ Medium
76,76,412,53,3,Low/ Medium
71,81,413,71,4,Medium/ Medium
59,86,414,83,4,High/ High
68,84,415,81,4,High/ Medium
66,79,416,70,4,Medium/ Medium
48,69,417,79,3,High/ Medium
75,81,418,64,4,High/ High
47,77,419,81,4,Medium/ Medium
58,75,420,77,2,High/ High
64,84,421,70,3,High/ Medium
24,47,422,42,2,Medium/ Medium
75,62,423,50,2,High/ Medium
57,66,424,66,3,Medium/ Medium
66,74,425,67,3,Medium/ High
13,26,426,53,1,Medium/ Medium
69,81,427,81,3,High/ Medium
68,85,428,86,4,Medium/ High
74,73,429,70,3,Medium/ Medium
70,75,430,72,3,High/ Medium
49,56,431,52,2,Medium/ Medium
51,62,432,59,2,Medium/ High
62,84,433,56,4,High/ High
36,76,434,57,3,Medium/ Medium
59,85,435,84,4,High/ High
64,86,436,89,4,High/ Medium
68,83,437,78,4,High/ Low
16,14,438,50,1,Medium/ Medium
18,19,439,34,1,Medium/ Medium
56,82,440,86,4,High/ Medium
70,81,441,75,3,High/ Medium
59,82,442,77,4,Medium/ Medium
58,77,443,83,3,High/ Medium
63,80,444,64,4,Medium/ Medium
38,74,445,79,3,High/ Medium
70,77,446,69,4,Medium/ Medium
13,13,447,51,1,Medium/ Medium
61,76,448,71,3,High/ High
77,85,449,77,4,Medium/ Medium
53,62,450,49,2,Medium/ Medium
40,66,451,62,2,Medium/ High
73,78,452,77,4,Medium/ Medium
56,64,453,73,3,Medium/ High
54,82,454,74,3,High/ Medium
39,56,455,33,2,Medium/ Medium
79,72,456,53,3,High/ Medium
68,82,457,96,4,High/ Medium
68,88,458,93,4,Medium/ Medium
72,82,459,72,3,Medium/ Medium
85,78,460,76,4,Medium/ Low
77,81,461,72,4,High/ Low
13,14,462,53,1,Medium/ Medium
14,15,463,45,1,Medium/ Medium
41,75,464,77,3,High/ Low
57,76,465,66,3,High/ Medium
12,21,466,50,1,Medium/ Medium
28,44,467,28,2,Medium/ Medium
40,66,468,57,2,Medium/ Medium
68,88,469,77,4,High/ Low
51,65,470,38,2,Medium/ High
54,58,471,72,2,Medium/ High
66,72,472,64,3,Medium/ Medium
55,83,473,82,4,High/ High
49,79,474,73,3,High/ Medium
45,76,475,79,4,High/ Medium
74,78,476,67,3,Medium/ High
75,82,477,79,3,Medium/ Low
36,53,478,63,2,Medium/ High
75,85,479,80,4,High/ Medium
81,81,480,63,5,High/ Medium
58,84,481,88,4,High/ High
47,76,482,76,3,High/ High
50,65,483,47,2,Medium/ Medium
53,69,484,73,3,High/ Medium
82,76,485,67,3,High/ High
74,86,486,67,4,High/ Medium
28,69,487,66,3,High/ Medium
45,75,488,60,3,Medium/ High
73,81,489,73,3,Medium/ Medium
67,76,490,70,4,Medium/ Medium
73,84,491,73,4,High/ Medium
77,73,492,60,3,High/ Medium
29,55,493,45,2,Medium/ High
62,73,494,75,3,Medium/ Medium
19,15,495,42,1,Medium/ Medium
74,87,496,79,4,High/ Low
63,81,497,69,3,High/ Medium
69,84,498,85,4,High/ High
83,66,499,59,2,Medium/ High
13,16,500,48,1,Medium/ Medium
63,86,501,94,4,High/ Medium
62,85,502,74,4,High/ Medium
66,78,503,75,3,Medium/ Medium
12,10,504,37,1,Medium/ Medium
60,68,505,65,2,Medium/ High
64,68,506,78,3,Medium/ Medium
73,81,507,78,4,High/ Medium
52,64,508,63,2,Medium/ High
13,13,509,39,1,Medium/ Medium
36,65,510,68,3,Medium/ Medium
74,78,511,62,4,Medium/ Low
10,19,512,50,1,Medium/ Medium
48,74,513,60,3,Medium/ High
59,77,514,86,3,High/ High
72,84,515,75,4,High/ High
42,51,516,47,2,Low/ Medium
64,79,517,74,3,High/ High
75,81,518,69,4,High/ Low
69,74,519,76,3,High/ Medium
58,73,520,73,3,High/ Medium
61,72,521,73,3,Medium/ Medium
57,78,522,79,4,Medium/ Medium
78,75,523,77,3,Medium/ Medium
77,86,524,81,5,High/ Medium
73,84,525,68,4,Medium/ Medium
17,12,526,44,1,Medium/ Medium
62,72,527,65,3,Medium/ Medium
75,78,528,73,3,High/ Medium
73,79,529,64,4,Medium/ Low
55,78,530,64,4,High/ Medium
70,78,531,79,3,Medium/ Medium
43,46,532,52,2,Medium/ High
51,66,533,67,3,Medium/ High
47,56,534,47,2,Medium/ Medium
37,73,535,87,3,Medium/ High
44,62,536,72,2,Medium/ High
44,57,537,64,2,Medium/ High
37,49,538,36,2,High/ Medium
78,73,539,55,3,Medium/ Medium
73,72,540,50,3,High/ Medium
10,15,541,45,1,Medium/ Medium
60,73,542,76,3,Medium/ High
49,75,543,63,3,High/ Medium
14,11,544,47,1,Medium/ Medium
72,84,545,84,5,High/ Low
75,80,546,87,3,Medium/ Medium
51,58,547,78,2,Low/ High
15,24,548,50,1,Medium/ Medium
72,72,549,65,3,High/ High
79,71,550,63,3,Medium/ Medium
13,13,551,49,1,Medium/ Medium
83,74,552,77,3,Medium/ High
81,80,553,51,3,Medium/ Medium
18,14,554,48,1,Medium/ Medium
68,80,555,73,4,High/ Medium
30,54,556,56,2,Medium/ High
72,87,557,84,5,High/ Medium
69,81,558,82,4,High/ Medium
64,86,559,83,5,High/ Medium
64,84,560,74,4,High/ High
68,78,561,70,4,High/ Medium
60,78,562,79,3,High/ High
76,82,563,69,4,High/ Medium
8,18,564,43,1,Medium/ Medium
67,72,565,69,2,Medium/ Medium
44,44,566,49,2,Medium/ Medium
49,78,567,75,3,High/ Medium
13,15,568,50,1,Medium/ Medium
79,77,569,72,4,High/ Medium
70,87,570,89,4,Medium/ Medium
20,8,571,37,1,Medium/ Medium
43,69,572,68,3,Medium/ High
44,68,573,66,3,Medium/ Medium
68,81,574,81,4,High/ Medium
67,87,575,89,4,Medium/ Medium
39,73,576,69,3,High/ Medium
70,86,577,78,4,High/ High
12,18,578,44,1,Medium/ Medium
57,79,579,85,3,High/ Medium
72,80,580,75,3,High/ Medium
56,76,581,77,3,Medium/ Medium
55,85,582,91,5,High/ High
56,74,583,65,3,Medium/ Medium
34,66,584,63,3,Medium/ Medium
83,83,585,66,3,High/ Medium
67,82,586,75,4,High/ Medium
53,74,587,61,3,Medium/ Medium
80,85,588,75,4,High/ Medium
59,87,589,87,4,High/ Low
69,76,590,73,3,High/ High
76,75,591,71,3,High/ Medium
71,71,592,71,3,High/ Low
49,69,593,57,3,Medium/ High
45,74,594,66,3,Medium/ High
56,69,595,76,3,Medium/ High
82,80,596,85,3,High/ Medium
55,82,597,65,4,High/ High
60,84,598,90,4,Medium/ Medium
60,87,599,90,4,High/ Medium
60,86,600,88,4,High/ Medium
44,73,601,78,3,High/ High
63,84,602,82,4,Medium/ Medium
62,80,603,77,3,Medium/ Medium
52,67,604,69,2,Medium/ High
51,74,605,67,3,Medium/ Medium
48,73,606,55,3,Medium/ High
62,70,607,44,3,Medium/ High
78,76,608,78,3,High/ Medium
15,14,609,43,1,Medium/ Medium
50,62,610,58,2,Medium/ High
73,80,611,75,4,High/ Medium
35,57,612,64,2,Medium/ High
68,83,613,76,3,Medium/ Medium
33,53,614,56,2,Medium/ High
53,79,615,89,3,High/ Medium
37,53,616,64,2,Medium/ Medium
47,50,617,52,2,Medium/ Medium
34,74,618,89,3,High/ High
32,65,619,51,2,Medium/ Medium
14,16,620,43,1,Medium/ Medium
75,80,621,61,4,Medium/ Medium
82,72,622,64,3,High/ High
74,80,623,82,4,High/ Medium
66,84,624,90,4,High/ Medium
54,76,625,77,4,Medium/ Low
57,77,626,78,3,High/ Medium
48,73,627,85,3,Medium/ High
49,60,628,61,2,High/ Medium
48,64,629,63,3,Medium/ High
68,76,630,76,3,Medium/ High
61,76,631,72,4,High/ Low
71,80,632,73,4,Medium/ Low
56,64,633,55,2,Medium/ High
11,16,634,42,1,Medium/ Medium
36,64,635,65,2,High/ Medium
42,77,636,69,3,High/ High
67,82,637,78,4,Medium/ Medium
74,82,638,70,3,Medium/ Medium
70,77,639,58,4,High/ High
58,77,640,75,3,Medium/ Medium
74,75,641,59,3,High/ High
65,80,642,81,4,High/ Low
70,75,643,52,4,High/ Low
75,82,644,78,3,High/ Medium
72,73,645,65,3,High/ Medium
61,85,646,58,4,Medium/ Medium
15,13,647,50,1,Medium/ Medium
81,77,648,75,4,High/ Medium
40,66,649,65,2,Low/ High
49,67,650,50,2,Medium/ High
73,77,651,67,3,Medium/ Medium
68,81,652,74,3,Medium/ Medium
69,74,653,74,4,High/ Medium
49,59,654,59,2,Medium/ High
59,80,655,77,3,High/ Medium
69,84,656,78,4,Medium/ Medium
40,54,657,48,2,Medium/ Medium
38,69,658,78,3,High/ High
74,75,659,66,3,High/ Medium
51,68,660,77,3,High/ Medium
81,75,661,54,3,Medium/ Medium
76,76,662,74,4,High/ Medium
74,78,663,80,4,High/ Medium
72,81,664,76,4,High/ High
45,76,665,75,3,High/ Medium
26,13,666,31,1,Medium/ Medium
57,75,667,74,4,High/ Medium
29,63,668,70,2,Medium/ High
59,80,669,83,4,High/ Medium
66,70,670,31,3,Medium/ Medium
64,81,671,83,3,Medium/ Medium
45,58,672,48,2,Medium/ Medium
44,71,673,66,3,Medium/ Medium
53,72,674,81,3,Medium/ High
78,80,675,83,4,High/ Medium
72,78,676,72,4,High/ Medium
57,72,677,76,3,High/ High
56,73,678,65,3,Medium/ Medium
76,82,679,83,4,High/ High
12,12,680,41,1,Medium/ Medium
69,75,681,76,3,Medium/ Medium
75,73,682,58,3,High/ High
58,75,683,73,3,Medium/ Medium
68,85,684,76,4,High/ Low
75,78,685,68,3,Medium/ High
41,68,686,57,3,Medium/ High
75,85,687,94,4,High/ High
66,57,688,60,2,Medium/ Medium
83,64,689,57,3,High/ High
14,15,690,49,1,Medium/ Medium
20,50,691,54,2,Medium/ High
33,59,692,38,2,High/ Medium
79,82,693,68,3,Medium/ Medium
76,83,694,80,4,High/ Medium
74,73,695,79,3,Medium/ Low
13,25,696,48,1,Medium/ Medium
12,12,697,58,1,Medium/ Medium
78,80,698,76,3,High/ Medium
56,68,699,69,3,Low/ High
68,67,700,49,3,Medium/ Medium
53,68,701,55,3,Medium/ High
12,12,702,50,1,Medium/ Medium
16,14,703,52,1,Medium/ Medium
12,16,704,40,1,Medium/ Medium
80,76,705,73,3,Medium/ Medium
43,77,706,69,3,High/ Medium
52,54,707,56,2,Medium/ High
71,81,708,77,3,Medium/ Medium
84,79,709,69,4,High/ High
12,17,710,52,1,Medium/ Medium
72,88,711,79,5,Medium/ Low
65,44,712,55,2,Medium/ Medium
77,82,713,85,4,High/ Low
78,87,714,76,4,Medium/ Low
69,78,715,66,4,Medium/ Low
67,82,716,74,4,Medium/ Low
71,77,717,76,4,High/ Medium
19,23,718,32,1,Medium/ Medium
74,78,719,80,4,High/ High
58,74,720,75,3,Medium/ High
77,69,721,48,3,High/ Low
18,13,722,43,1,Medium/ Medium
62,76,723,77,3,High/ High
76,72,724,52,3,Medium/ Medium
69,78,725,81,4,Medium/ Medium
73,79,726,57,3,Medium/ Medium
34,68,727,67,2,Medium/ High
68,83,728,77,4,High/ High
58,79,729,70,3,High/ High
48,78,730,75,3,High/ Medium
76,83,731,95,4,High/ High
80,76,732,65,3,Medium/ Medium
47,64,733,87,3,Medium/ High
9,14,734,53,1,Medium/ Medium
41,72,735,74,3,High/ Medium
64,79,736,75,4,High/ Medium
45,72,737,55,2,High/ High
71,76,738,70,4,Medium/ Medium
77,75,739,83,4,High/ Medium
55,76,740,90,4,High/ Medium
53,79,741,59,4,High/ High
42,76,742,71,3,High/ High
67,78,743,76,4,High/ Medium
58,73,744,78,3,Medium/ Medium
43,81,745,78,4,High/ Medium
69,76,746,69,3,Medium/ Medium
73,75,747,65,3,High/ High
57,84,748,94,4,High/ Medium
11,13,749,35,1,Medium/ Medium
72,86,750,88,4,High/ Low
46,77,751,67,3,High/ High
63,83,752,70,4,High/ Medium
65,85,753,76,4,Medium/ Medium
36,56,754,69,2,Low/ High
24,67,755,66,3,Medium/ Medium
71,81,756,87,4,High/ High
59,78,757,65,3,Medium/ Medium
75,74,758,39,3,High/ Medium
68,78,759,67,4,High/ Medium
19,16,760,42,1,Medium/ Medium
75,78,761,90,3,Medium/ High
67,64,762,44,3,High/ High
67,71,763,67,3,High/ Low
41,71,764,78,3,Medium/ High
46,76,765,70,4,Medium/ High
21,80,766,84,3,Medium/ Medium
41,60,767,34,2,Medium/ High
11,19,768,60,1,Medium/ Medium
34,64,769,57,2,Medium/ High
22,44,770,72,2,Medium/ High
72,76,771,74,3,High/ High
66,86,772,75,4,High/ Low
31,55,773,76,2,Medium/ High
43,77,774,84,4,Medium/ High
78,76,775,76,4,Medium/ Medium
40,77,776,74,3,Medium/ Medium
36,68,777,73,3,Medium/ High
52,74,778,86,3,High/ High
12,19,779,58,1,Medium/ Medium
46,54,780,58,2,Medium/ Medium
28,49,781,58,2,Medium/ High
76,72,782,58,3,Medium/ Medium
75,85,783,61,4,High/ Medium
71,82,784,68,4,Medium/ Low
50,36,785,52,2,Medium/ High
22,66,786,73,3,Medium/ High
43,78,787,61,3,High/ Medium
15,19,788,50,1,Medium/ Medium
48,84,789,75,4,Medium/ Medium
49,77,790,77,4,High/ High
67,82,791,71,4,Medium/ Medium
48,65,792,62,2,High/ Medium
68,81,793,74,3,Medium/ Medium
71,68,794,53,2,High/ High
59,79,795,83,4,Medium/ High
65,86,796,84,4,High/ Medium
43,73,797,74,3,High/ Medium
68,75,798,62,3,Medium/ High
43,75,799,70,3,Medium/ High
78,80,800,73,4,High/ Low
55,69,801,59,3,High/ Medium
65,83,802,91,4,Medium/ Low
