Club,Jersey Number,ClubID,Position
AS Saint-Étienne,16,147,GK
AS Monaco,9,148,RS
Leicester City,1,149,GK
Napoli,33,150,RCB
Atalanta,10,151,LS
Juventus,15,152,CB
Be?ikta? JK,7,153,RM
FC Bayern München,10,154,RM
FC Barcelona,11,155,RW
Manchester City,33,156,ST
Grêmio,7,157,RW
Grêmio,4,158,LCB
Atlético Mineiro,9,159,ST
Paris Saint-Germain,3,160,LCB
Liverpool,8,161,CM
FC Bayern München,24,162,CM
Atlético Madrid,8,163,LM
FC Bayern München,29,164,LM
Bayer 04 Leverkusen,20,165,CB
Guangzhou Evergrande Taobao FC,24,166,CAM
RB Leipzig,9,167,RW
Paris Saint-Germain,25,168,CM
FC Bayern München,14,169,CM
Sevilla FC,9,170,RM
Ajax,22,171,RAM
Real Madrid,17,172,RW
Dalian YiFang FC,10,173,LM
Villarreal CF,7,174,LS
FC Porto,28,175,RCB
Chelsea,17,176,LCM
Chelsea,13,177,GK
Villarreal CF,14,178,RCM
FC Bayern München,6,179,ST
Everton,1,180,GK
Atlético Madrid,15,181,CB
Manchester City,5,182,RCB
Milan,11,183,RW
Paris Saint-Germain,7,184,CM
West Ham United,8,185,LM
Tottenham Hotspur,27,186,RM
FC Porto,22,187,CDM
Real Madrid,12,188,CB
1. FC Köln,1,189,GK
Napoli,5,190,RCM
Lazio,13,191,CB
FC Barcelona,20,192,RB
Valencia CF,9,193,ST
SL Benfica,21,194,LCM
RB Leipzig,44,195,LCM
Valencia CF,13,196,GK
TSG 1899 Hoffenheim,1,197,GK
Everton,17,198,RDM
Arsenal,7,199,RM
Chelsea,3,200,LB
AS Monaco,1,201,GK
AS Monaco,15,202,RCB
Olympique de Marseille,16,203,CDM
Sporting CP,28,204,ST
Shanghai SIPG FC,8,205,LCM
OGC Nice,9,206,LS
Olympique de Marseille,19,207,LCB
Al Nassr,77,208,CAM
Chelsea,30,209,LCB
FC Schalke 04,1,210,GK
Manchester United,8,211,RM
Atlético Madrid,1,212,GK
Wolverhampton Wanderers,1,213,GK
Borussia Mönchengladbach,1,214,GK
FC Bayern München,8,215,CDM
Bayer 04 Leverkusen,8,216,RB
Lazio,6,217,LDM
Olympique de Marseille,16,218,GK
Chelsea,4,219,CM
Tottenham Hotspur,19,220,CM
FC Bayern München,7,221,LM
Hertha BSC,1,222,GK
Roma,16,223,RDM
Milan,25,224,GK
SV Werder Bremen,1,225,GK
Ajax,3,226,RCB
Atlético Madrid,16,227,CM
FC Barcelona,8,228,LCM
Milan,22,229,GK
Atlético Mineiro,13,230,RCM
Cruzeiro,3,231,RCB
Grêmio,1,232,GK
Atlético Madrid,18,233,RM
Valencia CF,17,234,LM
Arsenal,14,235,LCM
FC Barcelona,14,236,RW
Real Betis,23,237,GK
Atlético Madrid,21,238,LB
FC Barcelona,15,239,LCB
TSG 1899 Hoffenheim,27,240,LCM
Liverpool,3,241,LB
Athletic Club de Bilbao,16,242,RCM
Juventus,20,243,RM
Bayer 04 Leverkusen,10,244,LM
Juventus,15,245,CB
Milan,7,246,RM
Juventus,2,247,RB
Milan,13,248,LCB
Atlético Madrid,5,249,CDM
Manchester United,17,250,CM
Leicester City,9,251,ST
Torino,9,252,LS
RB Leipzig,10,253,LM
Manchester United,7,254,CAM
Sevilla FC,22,255,LCM
Medipol Ba?ak?ehir FK,7,256,RM
Chelsea,16,257,CB
Roma,16,258,RB
Leicester City,6,259,LCB
Paris Saint-Germain,15,260,RM
FC Schalke 04,26,261,CB
Valencia CF,6,262,CM
FC Barcelona,12,263,CAM
Valencia CF,5,264,LCB
Chelsea,7,265,ST
FC Barcelona,1,266,GK
Sevilla FC,9,267,RS
Beijing Sinobo Guoan FC,17,268,ST
Sevilla FC,17,269,RCM
Crystal Palace,11,270,LS
Lazio,10,271,CF
Beijing Sinobo Guoan FC,23,272,LF
Real Betis,5,273,CB
Sporting CP,4,274,RCB
Real Sociedad,12,275,ST
PFC CSKA Moscow,6,276,RB
Villarreal CF,6,277,LCB
Borussia Dortmund,8,278,LCM
VfL Wolfsburg,13,279,GK
Borussia Dortmund,10,280,CM
Arsenal,20,281,RCB
Roma,27,282,CAM
Chelsea,11,283,RW
Milan,5,284,CM
Borussia Dortmund,21,285,GK
Shakhtar Donetsk,7,286,LM
Roma,15,287,CDM
Shakhtar Donetsk,11,288,RM
Arsenal,10,289,CAM
Tottenham Hotspur,12,290,RB
Roma,11,291,LB
Everton,10,292,CAM
Toronto FC,21,293,CF
West Ham United,7,294,LS
Dalian YiFang FC,9,295,CAM
Liverpool,8,296,RCM
SV Werder Bremen,10,297,ST
Lazio,16,298,RDM
SL Benfica,5,299,CDM
Olympique de Marseille,23,300,RCB
Lokomotiv Moscow,14,301,LCB
Liverpool,8,302,CAM
Roma,20,303,LCB
Chelsea,9,304,ST
Roma,15,305,CB
Real Betis,18,306,CM
Valencia CF,24,307,RCB
SL Benfica,33,308,LCB
Torino,1,309,GK
Sporting CP,1,310,GK
Arsenal,6,311,CB
Sassuolo,47,312,GK
Milan,21,313,CDM
Paris Saint-Germain,13,314,RB
New York City FC,7,315,ST
Athletic Club de Bilbao,20,316,ST
Arsenal,1,317,GK
FC Porto,1,318,GK
Manchester United,11,319,LW
Fluminense,8,320,CAM
Bayer 04 Leverkusen,9,321,LM
Borussia Dortmund,5,322,LCB
Ajax,7,323,LDM
FC Barcelona,2,324,RB
Villarreal CF,8,325,CAM
Napoli,8,326,LM
Manchester United,2,327,CB
Real Madrid,21,328,LCM
PSV,22,329,LS
Levante UD,11,330,LS
Fulham,24,331,LDM
Inter,16,332,RM
Inter,77,333,LDM
Athletic Club de Bilbao,9,334,LW
Atlético Madrid,11,335,RM
Chelsea,6,336,LCB
Inter,10,337,CAM
Lazio,1,338,GK
Napoli,23,339,RB
Napoli,20,340,RCM
Leicester City,14,341,RB
SL Benfica,3,342,LB
Borussia Dortmund,13,343,LM
Watford,16,344,RDM
Atlanta United,17,345,LS
Villarreal CF,7,346,LS
Borussia Mönchengladbach,14,347,LW
Tottenham Hotspur,4,348,LB
FC Schalke 04,5,349,LCB
Napoli,7,350,CF
RB Leipzig,9,351,LM
Manchester City,22,352,LB
Borussia Mönchengladbach,6,353,CDM
Inter,2,354,RB
Borussia Mönchengladbach,16,355,RW
Bayer 04 Leverkusen,38,356,RM
Torino,11,357,RS
Napoli,31,358,LB
Montpellier HSC,40,359,GK
Atalanta,7,360,CAM
Bayer 04 Leverkusen,31,361,ST
Borussia Dortmund,9,362,ST
Atlético Madrid,23,363,LM
Arsenal,10,364,LDM
Ajax,10,365,LAM
Bayer 04 Leverkusen,20,366,LDM
Napoli,9,367,RW
Liverpool,6,368,RCB
Be?ikta? JK,17,369,RCB
Liverpool,23,370,CAM
FC Porto,17,371,RM
Paris Saint-Germain,23,372,GK
TSG 1899 Hoffenheim,22,373,CB
Manchester United,21,374,CM
SL Benfica,18,375,RW
Roma,92,376,LM
Manchester United,12,377,RCB
Shanghai SIPG FC,10,378,RCM
Borussia Dortmund,23,379,CAM
West Ham United,10,380,CAM
Lokomotiv Moscow,11,381,ST
Borussia Mönchengladbach,13,382,CF
Borussia Dortmund,36,383,CB
Roma,8,384,LW
Galatasaray SK,1,385,GK
Lokomotiv Moscow,5,386,RCB
Sevilla FC,4,387,RCB
Bayer 04 Leverkusen,5,388,LCB
Fenerbahçe SK,28,389,LM
SD Eibar,21,390,RM
Sassuolo,27,391,CM
Borussia Dortmund,26,392,RB
Inter,87,393,RM
Valencia CF,18,394,RB
Tottenham Hotspur,22,395,RM
Tottenham Hotspur,3,396,LB
Los Angeles FC,10,397,RW
Beijing Sinobo Guoan FC,5,398,LCM
Manchester United,16,399,RM
West Ham United,22,400,GK
Wolverhampton Wanderers,28,401,RCM
Inter,20,402,CAM
Sampdoria,27,403,RS
Al Hilal,18,404,ST
Lokomotiv Moscow,4,405,LM
FC Porto,16,406,CM
Borussia Mönchengladbach,11,407,CF
Sporting CP,17,408,LM
Liverpool,7,409,CM
Sporting CP,22,410,LCB
Real Betis,17,411,LS
RC Celta,18,412,ST
Bayer 04 Leverkusen,29,413,CAM
Olympique Lyonnais,17,414,CM
Olympique Lyonnais,8,415,LM
Valencia CF,8,416,RM
Real Madrid,19,417,RB
Atlanta United,10,418,CAM
Cruzeiro,5,419,LB
Fluminense,6,420,CDM
Real Sociedad,10,421,CAM
West Ham United,4,422,RCB
FC Porto,11,423,RS
VfB Stuttgart,2,424,RB
Leicester City,25,425,LDM
Ajax,1,426,GK
Real Betis,20,427,RCM
Sporting CP,9,428,LB
Wolverhampton Wanderers,5,429,LCM
Real Madrid,7,430,ST
SC Braga,34,431,CB
Milan,33,432,CB
Inter,15,433,LM
Milan,14,434,LCM
Borussia Dortmund,19,435,CM
SL Benfica,27,436,RW
Inter,11,437,RM
Real Sociedad,23,438,GK
River Plate,1,439,GK
AS Monaco,7,440,RM
Valencia CF,22,441,LS
TSG 1899 Hoffenheim,10,442,RCM
Valencia CF,3,443,LB
Everton,8,444,LDM
Ajax,3,445,LB
Olympique de Marseille,8,446,RDM
Deportivo Alavés,1,447,GK
Juventus,23,448,CM
Milan,10,449,CAM
Borussia Mönchengladbach,4,450,RWB
Everton,4,451,RCB
,5,452,CM
Shakhtar Donetsk,6,453,RDM
Manchester United,23,454,LB
Real Betis,4,455,CB
Eintracht Frankfurt,9,456,RS
Everton,20,457,LM
Real Betis,8,458,LM
Girona FC,9,459,RM
Valencia CF,21,460,ST
Guangzhou R&F; FC,7,461,LS
Sevilla FC,1,462,GK
Burnley,23,463,GK
Arsenal,2,464,RB
TSG 1899 Hoffenheim,2,465,RWB
Stoke City,13,466,GK
Southampton,3,467,CB
Burnley,5,468,RCB
Watford,7,469,RS
Tottenham Hotspur,4,470,CDM
Valencia CF,22,471,LCB
Lazio,25,472,CDM
Shakhtar Donetsk,31,473,LB
TSG 1899 Hoffenheim,16,474,LWB
Everton,12,475,LB
FC Schalke 04,7,476,ST
Real Betis,11,477,LM
Be?ikta? JK,24,478,LCB
Sevilla FC,14,479,ST
FC Porto,9,480,ST
Liverpool,21,481,CM
Tottenham Hotspur,17,482,RB
Liverpool,32,483,CB
Shakhtar Donetsk,44,484,LCB
SD Eibar,9,485,RS
West Ham United,20,486,RM
RC Celta,2,487,RB
SL Benfica,34,488,RB
VfB Stuttgart,10,489,CAM
Milan,13,490,LB
Watford,7,491,LM
Villarreal CF,2,492,RB
Galatasaray SK,3,493,CB
Ajax,5,494,LB
PSV,13,495,GK
Be?ikta? JK,22,496,CAM
Real Betis,6,497,RCM
Torino,14,498,RW
PSV,19,499,ST
Crystal Palace,31,500,GK
Athletic Club de Bilbao,10,501,CAM
Athletic Club de Bilbao,14,502,RW
FC Schalke 04,13,503,CDM
Eintracht Frankfurt,31,504,GK
Tottenham Hotspur,12,505,CDM
Torino,18,506,CB
Real Betis,10,507,CAM
VfL Wolfsburg,4,508,CDM
FC Bayern München,26,509,GK
Milan,22,510,RCB
Girona FC,11,511,ST
RB Leipzig,1,512,GK
Villarreal CF,21,513,CM
Manchester City,18,514,LB
Liverpool,20,515,CM
Olympique Lyonnais,6,516,RCB
Everton,2,517,RWB
Tianjin Quanjian FC,10,518,ST
Getafe CF,3,519,LB
Arsenal,18,520,LB
Athletic Club de Bilbao,7,521,LCM
Beijing Renhe FC,8,522,LDM
Valencia CF,9,523,ST
Montreal Impact,10,524,LW
Chievo Verona,10,525,CAM
Manchester United,1,526,GK
Genoa,4,527,LCB
Portland Timbers,8,528,RF
Liverpool,15,529,ST
Athletic Club de Bilbao,22,530,CAM
Burnley,16,531,LCM
Fenerbahçe SK,37,532,LCB
Lazio,26,533,LCB
Chelsea,24,534,CB
Paris Saint-Germain,19,535,CDM
AS Saint-Étienne,24,536,RCB
OGC Nice,31,537,CB
,4,538,LCB
Tigres U.A.N.L.,10,539,ST
VfB Stuttgart,27,540,LS
PFC CSKA Moscow,1,541,GK
Lokomotiv Moscow,27,542,RDM
Atlético Madrid,20,543,RB
RCD Espanyol,13,544,GK
Villarreal CF,19,545,LCM
Sevilla FC,16,546,RM
Hebei China Fortune FC,14,547,LDM
Roma,83,548,GK
Cagliari,33,549,RB
Chicago Fire,31,550,LCB
Real Sociedad,13,551,GK
DC United,9,552,ST
Sagan Tosu,9,553,LS
Chievo Verona,70,554,GK
Dynamo Kyiv,15,555,RM
SL Benfica,6,556,RCB
Ajax,7,557,RW
Sporting CP,21,558,RM
FC Schalke 04,25,559,LCM
Everton,30,560,ST
Inter,18,561,ST
Milan,14,562,CM
Santos,11,563,ST
Internacional,12,564,GK
América FC (Minas Gerais),14,565,LCM
Internacional,15,566,CB
Atlético Mineiro,2,567,RB
,12,568,GK
Sevilla FC,23,569,ST
Borussia Dortmund,10,570,RM
SD Eibar,1,571,GK
Olympique Lyonnais,29,572,RDM
Real Madrid,18,573,CDM
Dynamo Kyiv,21,574,LM
PSV,22,575,LW
Borussia Dortmund,4,576,LCB
AS Monaco,17,577,CAM
Independiente,25,578,GK
Boca Juniors,7,579,RW
Villarreal CF,7,580,LS
Girona FC,6,581,LWB
SL Benfica,11,582,LW
Borussia Dortmund,33,583,CDM
Manchester United,3,584,CB
Eintracht Frankfurt,4,585,CAM
Real Betis,11,586,ST
Sporting CP,16,587,CM
Borussia Dortmund,20,588,ST
OGC Nice,7,589,RS
Chelsea,21,590,RB
Bayer 04 Leverkusen,13,591,ST
Boca Juniors,9,592,ST
Cruz Azul,23,593,RDM
1. FSV Mainz 05,25,594,RCM
Bournemouth,8,595,RCM
SC Braga,21,596,LM
Spartak Moscow,8,597,LDM
Crystal Palace,7,598,LM
RB Leipzig,18,599,LW
Racing Club,10,600,RM
Wolverhampton Wanderers,19,601,LWB
FC Porto,25,602,RM
Borussia Mönchengladbach,23,603,CAM
Bournemouth,15,604,CB
1. FC Köln,3,605,LWB
Arsenal,31,606,LB
Tigres U.A.N.L.,19,607,LDM
Levante UD,9,608,RS
Fulham,25,609,GK
Crystal Palace,4,610,RCM
Torino,8,611,CDM
Hertha BSC,4,612,CB
FC Barcelona,6,613,CM
RB Leipzig,6,614,RCB
Napoli,19,615,LB
Athletic Club de Bilbao,4,616,LCB
Everton,22,617,CB
Sevilla FC,7,618,CDM
VfL Wolfsburg,6,619,LCB
Be?ikta? JK,1,620,GK
Spartak Moscow,9,621,ST
SV Werder Bremen,30,622,LCM
Southampton,13,623,LM
TSG 1899 Hoffenheim,13,624,LM
RCD Espanyol,10,625,RCM
VfL Wolfsburg,15,626,LB
RB Leipzig,31,627,CDM
FC Augsburg,6,628,RCB
Manchester United,16,629,CB
Fiorentina,17,630,CDM
Paris Saint-Germain,20,631,LB
Sampdoria,11,632,CAM
RCD Espanyol,15,633,RCB
FC Nantes,12,634,GK
Real Betis,23,635,RCB
AS Monaco,19,636,RB
FC Schalke 04,11,637,LW
Feyenoord,19,638,RW
Club Brugge KV,18,639,CAM
Levante UD,24,640,CDM
Chelsea,26,641,CM
Sevilla FC,8,642,LM
FC Augsburg,11,643,CAM
Deportivo Alavés,11,644,RM
Manchester City,3,645,RB
Chelsea,15,646,CAM
Brighton & Hove Albion,1,647,GK
Real Betis,7,648,ST
FC Schalke 04,17,649,RCB
VfL Wolfsburg,23,650,CDM
FC Porto,27,651,CM
FC Schalke 04,18,652,RWB
Bournemouth,13,653,ST
Manchester United,4,654,CB
Girona FC,10,655,LM
Galatasaray SK,10,656,CAM
Fiorentina,20,657,RCB
Villarreal CF,11,658,LB
Everton,9,659,ST
Sevilla FC,18,660,LM
SD Eibar,17,661,ST
Shanghai SIPG FC,9,662,ST
Guangzhou Evergrande Taobao FC,11,663,CF
Burnley,7,664,RM
Liverpool,2,665,RB
Borussia Dortmund,35,666,GK
Athletic Club de Bilbao,18,667,RB
Burnley,6,668,LCB
Olympique Lyonnais,4,669,RB
Leicester City,21,670,CDM
West Ham United,19,671,CM
TSG 1899 Hoffenheim,21,672,CB
Al Ahli,6,673,CDM
Valencia CF,17,674,LCM
Jiangsu Suning FC,10,675,LS
PFC CSKA Moscow,10,676,RDM
,2,677,RB
AS Saint-Étienne,6,678,LDM
Inter,18,679,LB
VfB Stuttgart,1,680,GK
Chelsea,6,681,CM
Atlético Madrid,9,682,ST
Galatasaray SK,2,683,RB
Galatasaray SK,89,684,RM
Leicester City,23,685,CM
Galatasaray SK,25,686,CDM
Borussia Mönchengladbach,16,687,RM
Sevilla FC,2,688,RCB
SC Freiburg,18,689,RS
Napoli,27,690,GK
Crystal Palace,5,691,CB
Real Betis,12,692,LCB
AS Monaco,10,693,ST
Jiangsu Suning FC,9,694,RS
West Ham United,17,695,ST
Fulham,31,696,GK
Real Madrid,13,697,GK
Getafe CF,9,698,ST
Everton,18,699,CDM
Manchester United,8,700,CM
PAOK,19,701,CDM
Napoli,1,702,GK
Liverpool,12,703,GK
Bournemouth,27,704,GK
SV Werder Bremen,17,705,CDM
Southampton,21,706,LB
Atalanta,5,707,CB
Everton,11,708,RM
SD Eibar,19,709,LS
Burnley,1,710,GK
Stade Rennais FC,18,711,CAM
Eintracht Frankfurt,19,712,CB
Hebei China Fortune FC,22,713,CAM
Hertha BSC,8,714,LM
Lokomotiv Moscow,10,715,CAM
Be?ikta? JK,11,716,LM
Manchester United,18,717,LB
Burnley,20,718,GK
Racing Club,15,719,LS
FC Augsburg,10,720,CDM
Trabzonspor,17,721,ST
1. FSV Mainz 05,1,722,GK
Arsenal,2,723,RB
Medipol Ba?ak?ehir FK,10,724,ST
Medipol Ba?ak?ehir FK,5,725,CM
Real Betis,16,726,RS
FC Porto,3,727,LCB
Fiorentina,14,728,RW
SPAL,29,729,RM
Borussia Dortmund,5,730,LB
Portimonense SC,10,731,LW
Eintracht Frankfurt,8,732,LS
VfB Stuttgart,15,733,CDM
Fiorentina,1,734,GK
Liverpool,14,735,RB
SL Benfica,20,736,CAM
Internacional,17,737,CDM
Grêmio,16,738,RB
Internacional,18,739,CAM
Atlético Mineiro,5,740,LB
OGC Nice,8,741,RCM
Leicester City,19,742,LB
SC Braga,17,743,CAM
Milan,2,744,RB
Olympique Lyonnais,22,745,LB
Roma,7,746,CM
FC Porto,29,747,LS
Olympiacos CFP,56,748,LM
Club Atlético Huracán,1,749,GK
River Plate,10,750,CAM
SV Werder Bremen,35,751,RCM
Kasimpa?a SK,21,752,LM
TSG 1899 Hoffenheim,18,753,CAM
Real Madrid,3,754,CB
Liverpool,16,755,CB
Wolverhampton Wanderers,18,756,LW
SD Eibar,24,757,LCM
SC Braga,99,758,ST
Lazio,77,759,RM
Getafe CF,13,760,GK
FC Nantes,28,761,RCM
VfL Wolfsburg,9,762,LS
Al Ahli,9,763,LS
Club Brugge KV,18,764,LCM
Al Nassr,6,765,LDM
VfB Stuttgart,7,766,RWB
Everton,13,767,LCB
Newcastle United,12,768,GK
FC Nantes,3,769,RCB
Getafe CF,2,770,RCB
Fiorentina,19,771,ST
Independiente,8,772,LM
Lazio,15,773,CB
RC Celta,14,774,CM
AS Monaco,17,775,CM
SC Braga,87,776,RB
Olympique Lyonnais,2,777,RB
Athletic Club de Bilbao,21,778,RB
Frosinone,57,779,GK
AS Monaco,5,780,LCB
Napoli,19,781,CB
Atalanta,91,782,RS
Lazio,11,783,LM
Atalanta,24,784,RM
Boca Juniors,24,785,RCB
Boca Juniors,16,786,CDM
Girona FC,3,787,LWB
Spartak Moscow,57,788,GK
Arsenal,17,789,LM
Milan,17,790,LB
FC Schalke 04,10,791,CM
Hertha BSC,5,792,CB
Southampton,18,793,LCM
Wolverhampton Wanderers,20,794,CB
SC Braga,47,795,RM
RC Celta,23,796,LW
FC Augsburg,31,797,LWB
Inter,5,798,CDM
Girona FC,8,799,RCM
Sassuolo,11,800,RW
RB Leipzig,23,801,LB
River Plate,8,802,CAM
Querétaro,1,803,GK
FC Porto,10,804,CM
FC Schalke 04,6,805,CDM
Olympique de Marseille,2,806,RB
Manchester United,15,807,CM
Real Sociedad,23,808,RW
Roma,4,809,CM
SC Braga,1,810,GK
Olympique Lyonnais,10,811,RM
RB Leipzig,20,812,RW
KRC Genk,14,813,LM
VfL Wolfsburg,27,814,LCM
Juventus,2,815,RB
RCD Espanyol,11,816,RW
Napoli,21,817,CB
Cagliari,30,818,RS
Cagliari,12,819,GK
Cagliari,29,820,CM
Hannover 96,24,821,RS
Stade Malherbe Caen,10,822,RCM
Wolverhampton Wanderers,9,823,RS
FC Nantes,9,824,ST
Godoy Cruz,18,825,ST
Atlético Madrid,4,826,RB
Toulouse Football Club,30,827,GK
KRC Genk,24,828,CAM
RSC Anderlecht,25,829,CM
Newcastle United,6,830,RCB
Huddersfield Town,5,831,LCB
Al Hilal,19,832,RM
Villarreal CF,3,833,RCB
Sampdoria,92,834,LS
Spartak Moscow,11,835,CDM
Hertha BSC,19,836,CM
Sampdoria,5,837,CAM
Montpellier HSC,5,838,RCB
Huddersfield Town,26,839,CB
AS Monaco,22,840,LM
SD Eibar,23,841,CB
Brighton & Hove Albion,5,842,LCB
Independiente,19,843,CM
Deportivo Alavés,17,844,LS
Sevilla FC,3,845,LCB
Southampton,14,846,CDM
West Ham United,27,847,ST
Olympiacos CFP,6,848,CM
CD Tondela,1,849,GK
Newcastle United,20,850,CB
Lokomotiv Moscow,10,851,LCM
Seattle Sounders FC,7,852,CAM
Be?ikta? JK,8,853,RDM
Boca Juniors,32,854,CAM
Hamburger SV,9,855,CB
Toulouse Football Club,15,856,LW
AS Saint-Étienne,26,857,RB
Chelsea,15,858,RW
FC Red Bull Salzburg,16,859,CM
RCD Espanyol,23,860,LCM
Bayer 04 Leverkusen,14,861,CDM
Rio Ave FC,17,862,RW
FC Girondins de Bordeaux,1,863,GK
Montpellier HSC,4,864,CB
Sporting CP,86,865,CDM
River Plate,27,866,LS
Cruz Azul,11,867,LM
Al Ahli,10,868,LCM
AS Saint-Étienne,7,869,CAM
Atalanta,2,870,RCB
Manchester City,1,871,GK
Hebei China Fortune FC,10,872,RDM
Melbourne Victory,4,873,RM
,22,874,ST
Watford,25,875,LB
Real Betis,3,876,CDM
RC Celta,1,877,GK
Lazio,22,878,LCB
Sevilla FC,6,879,CB
Burnley,4,880,RCM
Crystal Palace,5,881,RCB
Lokomotiv Moscow,20,882,GK
Parma,10,883,RW
Newcastle United,8,884,CM
Spartak Moscow,26,885,CAM
Club Brugge KV,25,886,RCM
Be?ikta? JK,17,887,LM
Be?ikta? JK,3,888,LB
Bournemouth,3,889,RCB
Vissel Kobe,10,890,RF
Torino,15,891,LM
Deportivo Alavés,19,892,LCM
LA Galaxy,7,893,RM
Southampton,16,894,RM
SV Werder Bremen,9,895,ST
Beijing Renhe FC,38,896,CAM
PSV,16,897,RM
VfB Stuttgart,8,898,CM
1. FSV Mainz 05,3,899,LB
Borussia Mönchengladbach,19,900,LM
Genoa,5,901,CB
Toulouse Football Club,14,902,RM
FC Augsburg,30,903,LM
SL Benfica,8,904,CM
SD Eibar,4,905,LCB
FC Basel 1893,17,906,CB
Feyenoord,20,907,CM
Al Wehda,5,908,CAM
Olympique de Marseille,28,909,ST
BSC Young Boys,99,910,LS
RCD Espanyol,9,911,LW
Paris Saint-Germain,11,912,ST
River Plate,22,913,LCB
PSV,8,914,LCM
Brighton & Hove Albion,19,915,LM
Dynamo Kyiv,5,916,CM
Stade Rennais FC,8,917,LDM
Borussia Mönchengladbach,5,918,CDM
KAA Gent,8,919,CM
Tigres U.A.N.L.,1,920,GK
Boca Juniors,18,921,LB
Leicester City,22,922,CAM
