ID,PlayerID,Name,Age,Nationality,International Reputation,Jersey Number
78,223848,S. Milinkovi?-Savi?,23,Serbia,2,21
79,220834,Marco Asensio,22,Spain,3,10
80,216594,N. Fekir,24,France,3,18
81,212831,Alisson,25,Brazil,3,13
82,212622,J. Kimmich,23,Germany,3,18
83,208421,Saúl,23,Spain,3,6
84,204485,R. Mahrez,27,Algeria,3,26
85,197445,D. Alaba,26,Austria,4,8
86,193747,Koke,26,Spain,3,8
87,193301,A. Lacazette,27,France,3,9
88,192774,K. Manolas,27,Greece,3,4
89,192366,N. Otamendi,30,Argentina,3,30
90,189513,Parejo,29,Spain,2,10
91,187961,Paulinho,29,Brazil,3,9
92,186153,W. Szcz?sny,28,Poland,3,1
93,184941,A. Sánchez,29,Chile,4,7
94,184267,Y. Brahimi,28,Algeria,3,8
95,183907,J. Boateng,29,Germany,4,17
96,181872,A. Vidal,31,Chile,4,8
97,181458,I. Periši?,29,Croatia,3,44
98,180930,E. Džeko,32,Bosnia Herzegovina,3,9
99,179846,S. Khedira,31,Germany,3,6
100,179844,Diego Costa,29,Spain,4,19
101,178518,R. Nainggolan,30,Belgium,3,14
102,171919,Naldo,35,Brazil,3,29
103,170890,B. Matuidi,31,France,3,14
104,168609,Miranda,33,Brazil,3,23
105,165153,K. Benzema,30,France,4,9
106,164169,Filipe Luís,32,Brazil,3,3
107,139720,V. Kompany,32,Belgium,4,4
108,120533,Pepe,35,Portugal,4,3
109,41236,Z. Ibrahimovi?,36,Sweden,5,9
110,220793,D. Sánchez,22,Colombia,2,23
111,216460,J. Giménez,23,Uruguay,2,24
112,212462,Alex Telles,25,Brazil,3,13
113,212218,A. Laporte,24,France,2,14
114,212198,Bruno Fernandes,23,Portugal,2,8
115,212190,N. Süle,22,Germany,2,15
116,211300,A. Martial,22,France,3,11
117,211117,D. Alli,22,England,3,20
118,209499,Fabinho,24,Brazil,3,3
119,207865,Marquinhos,24,Brazil,3,5
120,207566,William Carvalho,26,Portugal,3,14
121,205498,Jorginho,26,Italy,2,8
122,204970,F. Thauvin,25,France,2,20
123,204963,Carvajal,26,Spain,3,2
124,202556,M. Depay,24,Netherlands,3,10
125,200104,H. Son,25,Korea Republic,3,7
126,199482,A. Lopes,27,Portugal,2,1
127,198176,S. de Vrij,26,Netherlands,3,14
128,198009,M. Perin,25,Italy,2,22
129,193082,J. Cuadrado,30,Colombia,3,11
130,192629,Iago Aspas,30,Spain,2,17
131,192563,B. Leno,26,Germany,3,12
132,191202,N. Mati?,29,Serbia,3,31
133,190941,L. Hrádecký,28,Finland,2,1
134,190584,Illarramendi,28,Spain,2,4
135,188377,K. Walker,28,England,3,2
136,186942,I. Gündo?an,27,Germany,3,21
137,185020,José Callejón,31,Spain,3,7
138,183898,A. Di María,30,Argentina,4,11
139,181783,M. Mandžuki?,32,Croatia,3,17
140,180403,Willian,29,Brazil,3,22
141,178750,Sergio Asenjo,29,Spain,2,1
142,178562,E. Banega,30,Argentina,3,10
143,177413,A. Witsel,29,Belgium,3,6
144,177388,D. Payet,31,France,3,18
145,176769,Jonas,34,Brazil,3,10
146,172879,Sokratis,30,Greece,3,19
147,167628,S. Ruffier,31,France,3,16
148,167397,Falcao,32,Colombia,3,9
149,163587,K. Schmeichel,31,Denmark,2,1
150,157481,Raúl Albiol,32,Spain,3,33
151,143076,A. Gómez,30,Argentina,3,10
152,137186,A. Barzagli,37,Italy,3,15
153,20775,Quaresma,34,Portugal,3,7
154,9014,A. Robben,34,Netherlands,4,10
155,231443,O. Dembélé,21,France,3,11
156,230666,Gabriel Jesus,21,Brazil,2,33
157,230481,Ronaldo Cabrais,26,Brazil,1,7
158,230375,Josué Chiamulera,26,Brazil,1,4
159,230294,Louri Beretta,26,Brazil,1,9
160,225850,P. Kimpembe,22,France,2,3
161,220971,N. Keïta,23,Guinea,2,8
162,219683,C. Tolisso,23,France,2,24
163,213565,T. Lemar,22,France,3,8
164,213345,K. Coman,22,France,2,29
165,213331,J. Tah,22,Germany,2,20
166,212523,Anderson Talisca,24,Brazil,2,24
167,212188,T. Werner,22,Germany,3,9
168,210008,A. Rabiot,23,France,2,25
169,209658,L. Goretzka,23,Germany,3,14
170,208808,Q. Promes,26,Netherlands,2,9
171,208670,H. Ziyech,25,Morocco,3,22
172,208618,Lucas Vázquez,27,Spain,2,17
173,208418,Y. Carrasco,24,Belgium,3,10
174,208093,Gerard Moreno,26,Spain,1,7
175,207863,Felipe,29,Brazil,3,28
176,207410,M. Kova?i?,24,Croatia,3,17
177,206585,Kepa,23,Spain,1,13
178,206545,Manu Trigueros,26,Spain,2,14
179,206113,S. Gnabry,22,Germany,2,6
180,204935,J. Pickford,24,England,1,1
181,204639,S. Savi?,27,Montenegro,2,15
182,203574,J. Stones,24,England,2,5
183,202651,Suso,24,Spain,3,11
184,202166,J. Draxler,24,Germany,3,7
185,201995,Felipe Anderson,25,Brazil,3,8
186,200949,Lucas Moura,25,Brazil,3,27
187,200888,Danilo Pereira,26,Portugal,3,22
188,200724,Nacho Fernández,28,Spain,2,12
189,200316,T. Horn,25,Germany,2,1
190,199914,Allan,27,Brazil,2,5
191,199845,F. Acerbi,30,Italy,2,13
192,199564,Sergi Roberto,26,Spain,3,20
193,198329,Rodrigo,27,Spain,2,9
194,197965,Pizzi,28,Portugal,3,21
195,195365,K. Kampl,27,Slovenia,2,44
196,194404,Neto,28,Brazil,2,13
197,193698,O. Baumann,28,Germany,2,1
198,193474,I. Gueye,28,Senegal,2,17
199,192883,H. Mkhitaryan,29,Armenia,3,7
200,192638,Marcos Alonso,27,Spain,2,3
201,192593,D. Subaši?,33,Croatia,3,1
202,190547,K. Glik,30,Poland,3,15
203,189712,K. Strootman,28,Netherlands,3,16
204,189068,B. Dost,29,Netherlands,3,28
205,188152,Oscar,26,Brazil,3,8
206,186627,M. Balotelli,27,Italy,4,9
207,185221,Luiz Gustavo,30,Brazil,3,19
208,184942,Giuliano,28,Brazil,2,77
209,179944,David Luiz,31,Brazil,4,30
210,179783,R. Fährmann,29,Germany,2,1
211,178088,Juan Mata,30,Spain,3,8
212,178086,Adán,31,Spain,2,1
213,178005,Rui Patrício,30,Portugal,3,1
214,177683,Y. Sommer,29,Switzerland,3,1
215,177610,Javi Martínez,29,Spain,3,8
216,177457,L. Bender,29,Germany,3,8
217,176266,Lucas Leiva,31,Brazil,3,6
218,163705,S. Mandanda,33,France,3,16
219,162895,Cesc Fàbregas,31,Spain,4,4
220,162240,M. Dembélé,30,Belgium,3,19
221,156616,F. Ribéry,35,France,4,7
222,104389,R. Jarstein,33,Norway,2,1
223,53302,D. De Rossi,34,Italy,3,16
224,24630,Pepe Reina,35,Spain,3,25
225,236583,J. Pavlenka,26,Czech Republic,1,1
226,235243,M. de Ligt,18,Netherlands,2,3
227,231866,Rodri,22,Spain,1,16
228,230658,Arthur,21,Brazil,1,8
229,230621,G. Donnarumma,19,Italy,3,22
230,230258,Rosberto Dourado,30,Brazil,1,13
231,230225,Juiano Mestres,34,Brazil,1,3
232,230168,Raphaelito Anjos,30,Brazil,1,1
233,227055,Gelson Martins,23,Portugal,3,18
234,224411,Gonçalo Guedes,21,Portugal,1,17
235,223959,L. Torreira,22,Uruguay,2,14
236,222737,Malcom,21,Brazil,2,14
237,221087,Pau López,23,Spain,1,23
238,220814,L. Hernández,22,France,1,21
239,220440,C. Lenglet,23,France,1,15
240,216354,A. Kramari?,27,Croatia,2,27
241,216267,A. Robertson,24,Scotland,1,3
242,216194,Dani García,28,Spain,2,16
243,212404,F. Bernardeschi,24,Italy,2,20
244,212194,J. Brandt,22,Germany,2,10
245,211320,D. Rugani,23,Italy,2,15
246,210617,Samu Castillejo,23,Spain,2,7
247,210514,João Cancelo,24,Portugal,2,2
248,210413,A. Romagnoli,23,Italy,2,13
249,209989,T. Partey,25,Ghana,1,5
250,209297,Fred,25,Brazil,1,17
251,208830,J. Vardy,31,England,3,9
252,208596,A. Belotti,24,Italy,3,9
253,208448,E. Forsberg,26,Sweden,2,10
254,207494,J. Lingard,25,England,2,7
255,207471,F. Vázquez,29,Argentina,2,22
256,205678,E. Viš?a,28,Bosnia Herzegovina,2,7
257,205452,A. Rüdiger,25,Germany,2,16
258,203551,A. Florenzi,27,Italy,3,16
259,203263,H. Maguire,25,England,1,6
260,202371,T. Meunier,26,Belgium,2,15
261,201956,S. Sané,27,Senegal,2,26
262,201455,G. Kondogbia,25,Central African Rep.,2,6
263,201400,Rafinha,25,Brazil,2,12
264,201305,Gabriel Paulista,27,Brazil,2,5
265,201153,Morata,25,Spain,3,7
266,199987,J. Cillessen,29,Netherlands,3,1
267,199451,W. Ben Yedder,27,France,2,9
268,198951,C. Bakambu,27,DR Congo,2,17
269,198950,Pablo Sarabia,26,Spain,2,17
270,198717,W. Zaha,25,Ivory Coast,2,11
271,198706,Luis Alberto,25,Spain,2,10
272,198164,Jonathan Viera,28,Spain,2,23
273,198141,Bartra,27,Spain,3,5
274,197655,S. Coates,27,Uruguay,3,4
275,195093,Willian José,26,Brazil,2,12
276,193525,Mário Fernandes,27,Russia,2,6
277,193469,Víctor Ruiz,29,Spain,2,6
278,193283,T. Delaney,26,Denmark,2,8
279,192984,K. Casteels,26,Belgium,2,13
280,192318,M. Götze,26,Germany,4,10
281,192227,S. Mustafi,26,Germany,3,20
282,191180,J. Pastore,29,Argentina,3,27
283,189505,Pedro,30,Spain,3,11
284,189125,G. Bonaventura,28,Italy,3,5
285,189117,R. Bürki,27,Switzerland,3,21
286,188803,Taison,30,Brazil,2,7
287,187936,S. Nzonzi,29,France,2,15
288,187754,Marlos,30,Ukraine,2,11
289,186561,A. Ramsey,27,Wales,3,10
290,186345,K. Trippier,27,England,2,12
291,185103,A. Kolarov,32,Serbia,2,11
292,184484,G. Sigurðsson,28,Iceland,3,10
293,184431,S. Giovinco,31,Italy,2,21
294,184200,M. Arnautovi?,29,Austria,3,7
295,184144,N. Gaitán,30,Argentina,3,9
296,183711,J. Henderson,28,England,2,8
297,183574,M. Kruse,30,Germany,2,10
298,183498,M. Parolo,33,Italy,2,16
299,183376,L. Fejsa,29,Serbia,2,5
300,183280,A. Rami,32,France,3,23
301,181786,V. ?orluka,32,Croatia,3,14
302,181291,G. Wijnaldum,27,Netherlands,3,8
303,179847,F. Fazio,31,Argentina,3,20
304,178509,O. Giroud,31,France,3,9
305,173521,Marcano,31,Spain,3,15
306,171897,A. Guardado,31,Mexico,3,18
307,170481,E. Garay,31,Argentina,3,24
308,168530,Jardel,32,Brazil,2,33
309,168435,S. Sirigu,31,Italy,3,1
310,168354,E. Viviano,32,Italy,2,1
311,165229,L. Koscielny,32,France,3,6
312,163489,A. Consigli,31,Italy,2,47
313,158963,L. Biglia,32,Argentina,3,21
314,146530,Dani Alves,35,Brazil,4,13
315,113422,David Villa,36,Spain,3,7
316,106231,Aduriz,37,Spain,3,20
317,48940,P. ?ech,36,Czech Republic,4,1
318,5479,Casillas,37,Spain,4,1
319,231677,M. Rashford,20,England,2,11
320,230271,Laure Santeiro,30,Brazil,1,8
321,229906,L. Bailey,20,Jamaica,1,9
322,229237,M. Akanji,22,Switzerland,2,5
323,228702,F. de Jong,21,Netherlands,1,7
324,227928,Nélson Semedo,24,Portugal,2,2
325,226456,Pablo Fornals,22,Spain,1,8
326,226271,Fabián,22,Spain,1,8
327,225508,E. Bailly,24,Ivory Coast,2,2
328,222509,Dani Ceballos,21,Spain,1,21
329,221992,H. Lozano,22,Mexico,3,22
330,216475,Morales,30,Spain,1,11
331,216451,J. Seri,26,Ivory Coast,2,24
332,216409,M. Politano,24,Italy,2,16
333,216352,M. Brozovi?,25,Croatia,2,77
334,216201,Williams,24,Spain,2,9
335,214997,A. Correa,23,Argentina,1,11
336,213661,A. Christensen,22,Denmark,2,6
337,212814,João Mário,25,Portugal,3,10
338,212151,T. Strakosha,23,Albania,1,1
339,210864,E. Hysaj,24,Albania,2,23
340,210406,P. Zieli?ski,24,Poland,3,20
341,210243,Ricardo Pereira,24,Portugal,3,14
342,210035,Grimaldo,22,Spain,3,3
343,209889,R. Guerreiro,24,Portugal,3,13
344,208135,A. Doucouré,25,France,2,16
345,207877,J. Martínez,25,Venezuela,1,17
346,207664,C. Bacca,31,Colombia,3,7
347,206467,A. Plea,25,France,2,14
348,205923,B. Davies,25,Wales,2,4
349,205362,M. Nastasi?,25,Serbia,2,5
350,205175,A. Milik,24,Poland,3,7
351,204923,M. Sabitzer,24,Austria,2,9
352,204884,B. Mendy,23,France,2,22
353,204024,C. Kramer,27,Germany,2,6
354,203890,S. Vrsaljko,26,Croatia,2,2
355,203486,T. Hazard,25,Belgium,2,16
356,202857,K. Bellarabi,28,Germany,3,38
357,202685,S. Zaza,27,Italy,2,11
358,201454,F. Ghoulam,27,Algeria,2,31
359,200726,B. Lecomte,27,France,2,40
360,200647,J. Ili?i?,30,Slovenia,3,7
361,200610,K. Volland,25,Germany,2,31
362,200454,Paco Alcácer,24,Spain,2,9
363,199715,Vitolo,28,Spain,2,23
364,199503,G. Xhaka,25,Switzerland,3,10
365,199434,D. Tadi?,29,Serbia,3,10
366,199042,C. Aránguiz,29,Chile,2,20
367,196889,S. Verdi,25,Italy,2,9
368,195086,D. Lovren,28,Croatia,2,6
369,193532,G. Medel,30,Chile,3,17
370,193348,X. Shaqiri,26,Switzerland,3,23
371,193165,J. Corona,25,Mexico,3,17
372,193105,A. Areola,25,France,2,23
373,192641,K. Vogt,26,Germany,2,22
374,191740,Ander Herrera,28,Spain,3,21
375,190972,E. Salvio,27,Argentina,2,18
376,190813,S. El Shaarawy,25,Italy,3,92
377,189881,C. Smalling,28,England,3,12
378,189362,Hulk,31,Brazil,4,10
379,189358,S. Kagawa,29,Japan,3,23
380,188988,M. Lanzini,25,Argentina,2,10
381,187491,F. Smolov,28,Russia,1,11
382,187072,L. Stindl,29,Germany,2,13
383,185239,O. Toprak,28,Turkey,3,36
384,183900,D. Perotti,29,Argentina,3,8
385,182494,F. Muslera,32,Uruguay,3,1
386,179784,B. Höwedes,30,Germany,3,5
387,179645,S. Kjær,29,Denmark,3,4
388,177458,S. Bender,29,Germany,2,5
389,177326,M. Valbuena,33,France,3,28
390,175379,Pedro León,31,Spain,2,21
391,173909,K. Boateng,31,Ghana,3,27
392,173771,L. Piszczek,33,Poland,3,26
393,173221,A. Candreva,31,Italy,3,87
394,172522,D. Wass,29,Denmark,2,18
395,170368,E. Lamela,26,Argentina,2,22
396,169595,D. Rose,27,England,3,3
397,169416,C. Vela,29,Mexico,3,10
398,169195,Renato Augusto,30,Brazil,2,5
399,167905,A. Valencia,32,Ecuador,2,16
400,164835,L. Fabia?ski,33,Poland,2,22
401,162347,João Moutinho,31,Portugal,3,28
402,161956,Borja Valero,33,Spain,3,20
403,159261,F. Quagliarella,35,Italy,2,27
404,159145,B. Gomis,32,France,3,18
405,157960,Manuel Fernandes,32,Portugal,2,4
406,156519,H. Herrera,28,Mexico,3,16
407,144622,Raffael,33,Brazil,2,11
408,139068,Nani,31,Portugal,3,17
409,138412,J. Milner,32,England,2,7
410,112316,J. Mathieu,34,France,3,22
411,45186,Joaquín,36,Spain,2,17
412,239207,M. Gómez,21,Uruguay,1,18
413,235790,K. Havertz,19,Germany,1,29
414,235569,T. Ndombele,21,France,1,17
415,234906,H. Aouar,20,France,1,8
416,234153,Carlos Soler,21,Spain,1,8
417,234035,Odriozola,22,Spain,1,19
418,230977,M. Almirón,24,Paraguay,1,10
419,230347,Welington Dano,30,Brazil,1,5
420,230234,Everton Andrão,34,Brazil,1,6
421,230142,Oyarzabal,21,Spain,1,10
422,228229,F. Balbuena,26,Paraguay,1,4
423,227536,M. Marega,27,Mali,2,11
424,226851,B. Pavard,22,France,1,2
425,226790,W. Ndidi,21,Nigeria,1,25
426,226753,A. Onana,22,Cameroon,2,1
427,226226,G. Lo Celso,22,Argentina,1,20
428,224334,M. Acuña,26,Argentina,2,9
429,224293,Rúben Neves,21,Portugal,2,5
430,221639,Mariano,24,Dominican Republic,1,7
431,221540,Raúl,28,Brazil,1,34
432,220477,M. Caldara,24,Italy,2,33
433,219985,M. Vecino,26,Uruguay,2,15
434,219809,T. Bakayoko,23,France,2,14
435,218339,M. Dahoud,22,Germany,2,19
436,216547,Rafa,25,Portugal,2,27
437,215785,K. Baldé,23,Senegal,2,11
438,215316,G. Rulli,26,Argentina,3,23
439,214584,F. Armani,31,Argentina,1,1
440,212692,Rony Lopes,22,Portugal,2,7
441,212623,Santi Mina,22,Spain,1,22
442,211748,K. Demirbay,24,Germany,2,10
443,211688,Gayà,23,Spain,2,3
444,211575,André Gomes,24,Portugal,3,8
445,211256,N. Tagliafico,25,Argentina,2,3
446,210896,M. Sanson,23,France,2,8
447,209960,Pacheco,26,Spain,1,1
448,208333,E. Can,24,Germany,2,23
449,208128,H. Çalhano?lu,24,Turkey,3,10
450,207862,M. Ginter,24,Germany,2,4
451,207599,M. Keane,25,England,2,4
452,207439,L. Paredes,24,Argentina,2,5
453,206413,T. Stepanenko,28,Ukraine,1,6
454,205988,L. Shaw,22,England,2,23
455,205705,Z. Feddal,28,Morocco,1,4
456,205693,S. Haller,24,France,1,9
457,205525,Bernard,25,Brazil,2,20
458,205114,T. Inui,30,Japan,1,8
459,205070,Portu,26,Spain,1,9
460,204529,M. Batshuayi,24,Belgium,2,21
461,204399,E. Zahavi,30,Israel,1,7
462,204120,T. Vaclík,29,Czech Republic,1,1
463,203841,N. Pope,26,England,1,23
464,203747,Héctor Bellerín,23,Spain,3,2
465,203605,P. Kade?ábek,26,Czech Republic,2,2
466,203042,J. Butland,25,England,2,13
467,202849,J. Vestergaard,25,Denmark,2,3
468,202695,J. Tarkowski,25,England,1,5
469,202477,Deulofeu,24,Spain,3,7
470,202335,E. Dier,24,England,2,4
471,201377,J. Murillo,26,Colombia,2,22
472,201144,M. Badelj,29,Croatia,2,25
473,201119,Ismaily,28,Brazil,1,31
474,200536,N. Schulz,25,Germany,1,16
475,200458,L. Digne,24,France,2,12
476,200318,M. Uth,26,Germany,1,7
477,200315,Cristian Tello,26,Spain,2,11
478,199206,D. Vida,29,Croatia,3,24
479,199110,L. Muriel,27,Colombia,2,14
480,199069,V. Aboubakar,26,Cameroon,3,9
481,198784,A. Oxlade-Chamberlain,24,England,2,21
482,197853,S. Aurier,25,Ivory Coast,2,17
483,197061,J. Matip,26,Cameroon,2,32
484,195861,Y. Rakitskyi,28,Ukraine,2,44
485,194879,Sergi Enrich,28,Spain,2,9
486,194794,A. Yarmolenko,28,Ukraine,3,20
487,194229,Hugo Mallo,27,Spain,2,2
488,194022,André Almeida,27,Portugal,2,34
489,193886,D. Didavi,28,Germany,2,10
490,193352,R. Rodríguez,25,Switzerland,3,13
491,193061,R. Pereyra,27,Argentina,2,7
492,192789,Mario Gaspar,27,Spain,2,2
493,191687,Maicon,29,Brazil,2,3
494,190815,D. Blind,28,Netherlands,3,5
495,190778,J. Zoet,27,Netherlands,2,13
496,190544,A. Ljaji?,26,Serbia,2,22
497,190286,Canales,27,Spain,2,6
498,190264,Iago Falqué,28,Spain,3,14
499,189805,L. de Jong,27,Netherlands,2,19
500,189690,Guaita,31,Spain,2,31
501,189575,Muniain,25,Spain,2,10
502,189354,Susaeta,30,Spain,2,14
503,189251,S. Rudy,28,Germany,2,13
504,188943,K. Trapp,27,Germany,2,31
505,188942,V. Wanyama,27,Kenya,2,12
506,188829,N. Nkoulou,28,Cameroon,3,18
507,188388,R. Boudebouz,28,Algeria,2,10
508,188005,Camacho,28,Spain,2,4
509,186569,S. Ulreich,29,Germany,2,26
510,186547,M. Musacchio,27,Argentina,3,22
511,186537,C. Stuani,31,Uruguay,1,11
512,185122,P. Gulácsi,28,Hungary,2,1
513,184120,Bruno,34,Spain,3,21
514,183427,F. Delph,28,England,2,18
515,180819,A. Lallana,30,England,3,20
516,180334,Marcelo,31,Brazil,2,6
517,180216,S. Coleman,29,Republic of Ireland,2,2
518,180175,Alexandre Pato,28,Brazil,3,10
519,178424,Antunes,31,Portugal,2,3
520,177604,Nacho Monreal,32,Spain,2,18
521,177600,Beñat,31,Spain,2,7
522,176915,A. Fernández,32,Argentina,2,8
523,176600,K. Gameiro,31,France,3,9
524,176376,I. Piatti,33,Argentina,2,10
525,176104,V. Birsa,31,Slovenia,2,10
526,173373,S. Romero,31,Argentina,3,1
527,173208,D. Criscito,31,Italy,2,4
528,172114,D. Valeri,32,Argentina,2,8
529,171833,D. Sturridge,28,England,3,15
530,171579,Raúl García,31,Spain,2,22
531,170815,S. Defour,30,Belgium,2,16
532,166706,M. Škrtel,33,Slovakia,3,37
533,165109,S. Radu,31,Romania,2,26
534,164468,G. Cahill,32,England,3,24
535,163711,L. Diarra,33,France,3,19
536,159147,L. Perrin,32,France,2,24
537,158625,Dante,34,Brazil,3,31
538,156713,A. Granqvist,33,Sweden,2,4
539,153244,A. Gignac,32,France,3,10
540,150418,M. Gómez,32,Germany,3,27
541,148119,I. Akinfeev,32,Russia,3,1
542,147782,I. Denisov,34,Russia,2,27
543,146760,Juanfran,33,Spain,3,20
544,146748,Diego López,36,Spain,3,13
545,146562,Santi Cazorla,33,Spain,3,19
546,146536,Jesús Navas,32,Spain,2,16
547,142754,J. Mascherano,34,Argentina,4,14
548,140293,A. Mirante,34,Italy,2,83
549,139997,D. Srna,36,Croatia,3,33
550,121944,B. Schweinsteiger,33,Germany,4,31
551,110677,Moyá,34,Spain,2,13
552,54050,W. Rooney,32,England,4,9
553,49369,Fernando Torres,34,Spain,3,9
554,49031,S. Sorrentino,39,Italy,2,70
555,244369,V. Tsygankov,20,Ukraine,1,15
556,239818,Rúben Dias,21,Portugal,1,6
557,236632,David Neres,21,Brazil,2,7
558,233419,Raphinha,21,Brazil,1,21
559,232097,A. Harit,21,Morocco,2,25
560,231943,Richarlison,21,Brazil,1,30
561,231478,L. Martínez,20,Argentina,1,18
562,230938,F. Kessié,21,Ivory Coast,2,14
563,230498,Luimo Boas Santos,30,Brazil,1,11
564,230312,Gabri Prestão,26,Brazil,1,12
565,230251,Melvin Parrela,30,Brazil,1,14
566,230212,Antônio Chiamuloira,30,Brazil,1,15
567,230201,Maikel Catarino,34,Brazil,1,2
568,229909,A. Lunev,26,Russia,1,12
569,228941,André Silva,22,Portugal,2,23
570,227796,C. Pulisic,19,United States,3,10
571,227290,M. Dmitrovi?,26,Serbia,1,1
572,227234,L. Tousart,21,France,2,29
573,226161,Marcos Llorente,23,Spain,1,18
574,225997,B. Verbi?,24,Slovenia,1,21
575,225953,S. Bergwijn,20,Netherlands,1,22
576,225711,A. Diallo,22,France,2,4
577,225663,A. Golovin,22,Russia,1,17
578,225647,M. Campaña,29,Uruguay,1,25
579,224254,C. Pavón,22,Argentina,1,7
580,224069,K. Toko-Ekambi,25,Cameroon,2,7
581,223682,Granell,29,Spain,1,6
582,223061,F. Cervi,24,Argentina,2,11
583,222028,J. Weigl,22,Germany,3,33
584,221660,V. Lindelöf,23,Sweden,2,3
585,220018,A. Rebi?,24,Croatia,1,4
586,219932,A. Sanabria,22,Paraguay,1,11
587,219576,R. Battaglia,26,Argentina,1,16
588,216497,M. Philipp,24,Germany,2,20
589,216388,A. Saint-Maximin,21,France,2,7
590,216150,D. Zappacosta,26,Italy,2,21
591,215353,L. Alario,25,Argentina,2,13
592,215061,D. Benedetto,28,Argentina,2,9
593,215057,I. Marcone,28,Argentina,1,23
594,214947,J. Gbamin,22,Ivory Coast,1,25
595,213991,J. Lerma,23,Colombia,1,8
596,213516,Ricardo Horta,23,Portugal,1,21
597,213160,R. Zobnin,24,Russia,1,8
598,212150,M. Meyer,22,Germany,2,7
599,211368,Bruma,23,Portugal,2,18
600,211267,R. Centurión,25,Argentina,1,10
601,210455,Jonny,24,Spain,2,19
602,210411,Otávio,23,Brazil,1,25
603,210324,J. Hofmann,25,Germany,2,23
604,208920,N. Aké,23,Netherlands,1,15
605,208334,J. Hector,28,Germany,3,3
606,207993,S. Kolašinac,25,Bosnia Herzegovina,2,31
607,207939,G. Pizarro,28,Argentina,1,19
608,207732,Roger,27,Spain,2,9
609,206652,Sergio Rico,24,Spain,2,25
610,206304,L. Milivojevi?,27,Serbia,1,4
